description,change1_sh,up1_sh,down1_sh,total1,up1,up2,up3,up4,down1,down2,down3,down4,level1,level2,level3,level4,up_ch1,up_ch2,up_ch3,up_ch4,down_ch1,down_ch2,down_ch3,down_ch4,total2,total3,total4,up2_sh,up3_sh,up4_sh,down2_sh,down3_sh,down4_sh,level1_sh,level2_sh,level3_sh,level4_sh,change2_sh,change3_sh,change4_sh,division,_merge
BLUEBERRIES PUNNET PER KG,.44533762,.20395039,.24138723,4354,888,130,0,0,1051,260,0,0,2415,600,0,0,.30920318,.31020308,,,-.20023458,-.16420884,,,990,0,0,.13131313,,,.26262626,,,.55466241,.60606062,,,.39393938,,,1,matched (3)
POTATOES-OLD-PREPK-WHITE-PERKG,.44169468,.24901302,.19268164,16971,4226,0,0,0,3270,0,0,0,9475,0,0,0,.19232215,,,,-.19178723,,,,0,0,0,,,,,,,.55830532,,,,,,,1,matched (3)
POTATOES-OLD RED-PER KG,.44131863,.25294337,.18837526,8069,2041,0,0,0,1520,0,0,0,4508,0,0,0,.24520499,,,,-.208772,,,,0,0,0,,,,,,,.55868137,,,,,,,1,matched (3)
DIGITAL CAMCORDER RS 2011,.43820226,.15195292,.28624934,1869,284,0,0,0,535,0,0,0,1050,0,0,0,.19516526,,,,-.078476384,,,,0,0,0,,,,,,,.56179774,,,,,,,9,matched (3)
COMPUTER GAME 3,.43478262,.17391305,.26086956,23,4,0,39,27,6,0,34,5,13,0,90,46,.42869389,,.46529278,.47494313,-.32380953,,-.26434061,-.32631803,0,163,78,,.2392638,.34615386,,.20858896,.064102568,.56521738,,.55214721,.58974361,,.44785276,.41025642,9,matched (3)
LAGER 12-24 BOTTLE (250-300ML),.43362588,.21736149,.2162644,7292,1585,438,55,36,1577,365,74,56,4130,1227,246,143,.19305187,.17966591,.19279018,.23317017,-.1581672,-.15774231,-.15766734,-.17772228,2030,375,235,.21576355,.14666666,.15319149,.17980295,.19733334,.23829788,.56637412,.60443348,.65600002,.60851061,.39556652,.34399998,.39148939,2,matched (3)
THEATRE ADULT EVES-FRONT STLLS,.43325052,.22539105,.20785947,28577,6441,1007,0,0,5940,965,0,0,16196,834,0,0,.20282717,.20980728,,,-.18365349,-.18329912,,,2806,0,0,.35887384,,,.34390593,,,.56674951,.29722023,,,.70277977,,,9,matched (3)
BLUEBERRIES PUNNET OR PER KGBLUEBERRIES PUNNET OR PER KGBLUEBERRIES PUNNET OR PER KG,.43251157,.22650231,.20600924,6490,1470,1288,495,212,1337,1128,403,268,3683,3133,1280,831,.22559792,.22119257,.19680566,.22955677,-.20180948,-.19832745,-.17216535,-.17671448,5549,2178,1311,.2321139,.22727273,.16170862,.20327987,.18503214,.2044241,.56748843,.56460625,.58769512,.63386726,.43539375,.41230488,.36613274,1,matched (3)
VACUUM CLEANER 2010,.43117505,.22014388,.21103117,2085,459,0,0,0,440,0,0,0,1186,0,0,0,.10743263,,,,-.13931693,,,,0,0,0,,,,,,,.56882495,,,,,,,5,matched (3)
"TELEVISION 39"" OR SMALLERTELEVISION 39"" OR SMALLERTELEVISION 39"" OR SMALLER",.42682713,.17146346,.25536367,5733,983,880,291,180,1464,1274,282,169,3286,2796,849,503,.12939325,.12748739,.13514711,.14340518,-.11104906,-.11512144,-.11843926,-.093043908,4950,1422,852,.17777778,.20464136,.21126761,.25737375,.19831224,.19835681,.57317287,.56484848,.59704643,.5903756,.43515152,.40295359,.4096244,9,matched (3)
