description,type,name,region_s,year,price
"MODEL RD VEHICLE, EG MATCHBOX",Presents,Toy car,Northern Ireland,1988,.99000001
BOXED BOARD GAME: NOT TRAVEL,Presents,Board game,London,1989,7.9899998
BOXED BOARD GAME: NOT TRAVEL,Presents,Board game,South East,1989,7.9899998
BOXED BOARD GAME: NOT TRAVEL,Presents,Board game,South West,1989,8.9499998
BOXED BOARD GAME: NOT TRAVEL,Presents,Board game,East Anglia,1989,8.9899998
BOXED BOARD GAME: NOT TRAVEL,Presents,Board game,East Midlands,1989,7.9899998
BOXED BOARD GAME: NOT TRAVEL,Presents,Board game,West Midlands,1989,7.9899998
BOXED BOARD GAME: NOT TRAVEL,Presents,Board game,Yorkshire & Humber,1989,7.9899998
BOXED BOARD GAME: NOT TRAVEL,Presents,Board game,North West,1989,7.9899998
BOXED BOARD GAME: NOT TRAVEL,Presents,Board game,North,1989,8.9899998
BOXED BOARD GAME: NOT TRAVEL,Presents,Board game,Wales,1989,8.9899998
BOXED BOARD GAME: NOT TRAVEL,Presents,Board game,Scotland,1989,8.9899998
BOXED BOARD GAME: NOT TRAVEL,Presents,Board game,Northern Ireland,1989,7.9899998
5 CIGARS: SPECIFY BRAND,Presents,Cigars,London,1989,1.1900001
5 CIGARS: SPECIFY BRAND,Presents,Cigars,South East,1989,1.25
5 CIGARS: SPECIFY BRAND,Presents,Cigars,South West,1989,1.13
5 CIGARS: SPECIFY BRAND,Presents,Cigars,East Anglia,1989,1.1900001
5 CIGARS: SPECIFY BRAND,Presents,Cigars,East Midlands,1989,1.26
5 CIGARS: SPECIFY BRAND,Presents,Cigars,West Midlands,1989,1.14
5 CIGARS: SPECIFY BRAND,Presents,Cigars,Yorkshire & Humber,1989,1.255
5 CIGARS: SPECIFY BRAND,Presents,Cigars,North West,1989,1.23
5 CIGARS: SPECIFY BRAND,Presents,Cigars,North,1989,1.25
5 CIGARS: SPECIFY BRAND,Presents,Cigars,Wales,1989,1.275
5 CIGARS: SPECIFY BRAND,Presents,Cigars,Scotland,1989,1.2
5 CIGARS: SPECIFY BRAND,Presents,Cigars,Northern Ireland,1989,1.29
COAL-HOUSEHOLD BEST QUAL 50KG,Presents,Coal,London,1989,6.3249998
COAL-HOUSEHOLD BEST QUAL 50KG,Presents,Coal,South East,1989,6.5500002
COAL-HOUSEHOLD BEST QUAL 50KG,Presents,Coal,South West,1989,6.4000001
COAL-HOUSEHOLD BEST QUAL 50KG,Presents,Coal,East Anglia,1989,6.6999998
COAL-HOUSEHOLD BEST QUAL 50KG,Presents,Coal,East Midlands,1989,5.1999998
COAL-HOUSEHOLD BEST QUAL 50KG,Presents,Coal,West Midlands,1989,4.9899998
COAL-HOUSEHOLD BEST QUAL 50KG,Presents,Coal,Yorkshire & Humber,1989,5.1549997
COAL-HOUSEHOLD BEST QUAL 50KG,Presents,Coal,North West,1989,5.4700003
COAL-HOUSEHOLD BEST QUAL 50KG,Presents,Coal,North,1989,5.25
COAL-HOUSEHOLD BEST QUAL 50KG,Presents,Coal,Wales,1989,5.8000002
COAL-HOUSEHOLD BEST QUAL 50KG,Presents,Coal,Scotland,1989,5.4499998
COAL-HOUSEHOLD BEST QUAL 50KG,Presents,Coal,Northern Ireland,1989,6.6700001
CHILD'S PLASTIC DOLL,Presents,Doll,London,1989,12.95
CHILD'S PLASTIC DOLL,Presents,Doll,South East,1989,13.45
CHILD'S PLASTIC DOLL,Presents,Doll,South West,1989,13.45
CHILD'S PLASTIC DOLL,Presents,Doll,East Anglia,1989,13.99
CHILD'S PLASTIC DOLL,Presents,Doll,East Midlands,1989,7.9899998
CHILD'S PLASTIC DOLL,Presents,Doll,West Midlands,1989,12.99
CHILD'S PLASTIC DOLL,Presents,Doll,Yorkshire & Humber,1989,7.9899998
CHILD'S PLASTIC DOLL,Presents,Doll,North West,1989,12.99
CHILD'S PLASTIC DOLL,Presents,Doll,North,1989,11.219999
CHILD'S PLASTIC DOLL,Presents,Doll,Wales,1989,10.99
CHILD'S PLASTIC DOLL,Presents,Doll,Scotland,1989,14.99
CHILD'S PLASTIC DOLL,Presents,Doll,Northern Ireland,1989,14.99
"9CT GOLD CHAIN 18-20""/46-51CM",Presents,Gold chain,London,1989,16.99
"9CT GOLD CHAIN 18-20""/46-51CM",Presents,Gold chain,South East,1989,22.99
"9CT GOLD CHAIN 18-20""/46-51CM",Presents,Gold chain,South West,1989,24.99
"9CT GOLD CHAIN 18-20""/46-51CM",Presents,Gold chain,East Anglia,1989,34.5
"9CT GOLD CHAIN 18-20""/46-51CM",Presents,Gold chain,East Midlands,1989,19.75
"9CT GOLD CHAIN 18-20""/46-51CM",Presents,Gold chain,West Midlands,1989,26.799999
