Month,CG: Total revenue: £m CPNSA,,
2006-04-01,39560,,
2006-05-01,39318,,
2006-06-01,39920,,
2006-07-01,44771,,
2006-08-01,41748,,
2006-09-01,41184,,
2006-10-01,41286,,
2006-11-01,40397,,
2006-12-01,42641,,
2007-01-01,54678,,
2007-02-01,49137,,
2007-03-01,46224,,
2007-04-01,41629,,
2007-05-01,41725,,
2007-06-01,41901,,
2007-07-01,47922,,
2007-08-01,43621,,
2007-09-01,43229,,
2007-10-01,43522,,
2007-11-01,42925,,
2007-12-01,44011,,
2008-01-01,58789,,
2008-02-01,51424,,
2008-03-01,48886,,
2008-04-01,43088,,
2008-05-01,42000,,
2008-06-01,42713,,
2008-07-01,48585,,
2008-08-01,43522,,
2008-09-01,59104,,
2008-10-01,45662,,
2008-11-01,42001,,
2008-12-01,42515,,
2009-01-01,55062,,
2009-02-01,47117,,
2009-03-01,45783,,
2009-04-01,41310,,
2009-05-01,37932,,
2009-06-01,40287,,
2009-07-01,45820,,
2009-08-01,41496,,
2009-09-01,40962,,
2009-10-01,41673,,
2009-11-01,40460,,
2009-12-01,41425,,
2010-01-01,53654,,
2010-02-01,50053,,
2010-03-01,50770,,
2010-04-01,45511,,
2010-05-01,42163,,
2010-06-01,44388,,
2010-07-01,48242,,
2010-08-01,44357,,
2010-09-01,44614,,
2010-10-01,43011,,
2010-11-01,43363,,
2010-12-01,44236,,
2011-01-01,59797,,
2011-02-01,51332,,
2011-03-01,52030,,
2011-04-01,44555,,
2011-05-01,44780,,
2011-06-01,46406,,
2011-07-01,51363,,
2011-08-01,47238,,
2011-09-01,46013,,
2011-10-01,45362,,
2011-11-01,44939,,
2011-12-01,46752,,
2012-01-01,60467,,
2012-02-01,50129,,
2012-03-01,66839,,
2012-04-01,47608,,
2012-05-01,44544,,
2012-06-01,46303,,
2012-07-01,52527,,
2012-08-01,46801,,
2012-09-01,46499,,
2012-10-01,46425,,
2012-11-01,44972,,
2012-12-01,47939,,
2013-01-01,66479,,
2013-02-01,53402,,
2013-03-01,52560,,
2013-04-01,52322,,
2013-05-01,51668,,
2013-06-01,52146,,
2013-07-01,54838,,
2013-08-01,48399,,
2013-09-01,48924,,
2013-10-01,47675,,
2013-11-01,47545,,
2013-12-01,50821,,
2014-01-01,63407,,
2014-02-01,53359,,
2014-03-01,57070,,
2014-04-01,53192,,
2014-05-01,47981,,
2014-06-01,49642,,
2014-07-01,56982,,
2014-08-01,51064,,
2014-09-01,50342,,
2014-10-01,54539,,
2014-11-01,50722,,
2014-12-01,52445,,
2015-01-01,68752,,
2015-02-01,55907,,
2015-03-01,58649,,
2015-04-01,56392,,
2015-05-01,50974,,
2015-06-01,51526,,
2015-07-01,59568,,
2015-08-01,51907,,
2015-09-01,51837,,
2015-10-01,54366,,
2015-11-01,51306,,
2015-12-01,53690,,
2016-01-01,72496,,
2016-02-01,58365,,
2016-03-01,59919,,
2016-04-01,57683,,
2016-05-01,53270,,
2016-06-01,54968,,
2016-07-01,63174,,
2016-08-01,55617,,
2016-09-01,55137,,
2016-10-01,58167,,
2016-11-01,54399,,
2016-12-01,57534,,
2017-01-01,77723,,
2017-02-01,64469,,
2017-03-01,63444,,
2017-04-01,60401,,
2017-05-01,55464,,
2017-06-01,57251,,
2017-07-01,64990,,
2017-08-01,57365,,
2017-09-01,57403,,
2017-10-01,62217,,
2017-11-01,57547,,
2017-12-01,60465,,
2018-01-01,75684,,
2018-02-01,65441,,
2018-03-01,65584,,
2018-04-01,62716,,
2018-05-01,57576,,
2018-06-01,60352,,
2018-07-01,71224,,
2018-08-01,59695,,
2018-09-01,59709,,
2018-10-01,63923,,
2018-11-01,59513,,
2018-12-01,62165,,
2019-01-01,82294,,
2019-02-01,66762,,
2019-03-01,70364,,
2019-04-01,64453,,
2019-05-01,59642,,
2019-06-01,61829,,
2019-07-01,70812,,
2019-08-01,62060,,
2019-09-01,63363,,
2019-10-01,63277,,
2019-11-01,60102,,
2019-12-01,63693,,
2020-01-01,84036,,
2020-02-01,67134,,
2020-03-01,68368,,
2020-04-01,55914,,
2020-05-01,51886,,
2020-06-01,55295,,
2020-07-01,63157,,
2020-08-01,58178,,
2020-09-01,58617,,
2020-10-01,64678,,
2020-11-01,60066,,
2020-12-01,64034,,
2021-01-01,83386,,
