quote_date,region,item_id,p10,p20,p30,p40,p50,p60,p70,p80,p90,date,date2,date3,date4,year,month,quarter
199204,2,220303,.69999999,.69999999,.75,.77499998,.85000002,.88999999,.94999999,1.075,1.1,51,01-04-1992,01-04-1992,1992-04-01,1992,4,2
199205,2,220303,.69999999,.69999999,.75,.80000001,.85000002,.94999999,1,1.05,1.1,52,01-05-1992,01-05-1992,1992-05-01,1992,5,2
199206,2,220303,.69999999,.69999999,.75,.85000002,.88999999,.94999999,1,1.05,1.15,53,01-06-1992,01-06-1992,1992-06-01,1992,6,2
199207,2,220303,.69999999,.69999999,.75,.80000001,.88999999,.94999999,.94999999,1,1.1,54,01-07-1992,01-07-1992,1992-07-01,1992,7,3
199208,2,220303,.69999999,.69999999,.69999999,.80000001,.88999999,.89999998,.99000001,1.05,1.1,55,01-08-1992,01-08-1992,1992-08-01,1992,8,3
199209,2,220303,.69999999,.69999999,.80000001,.85000002,.89999998,.94999999,.94999999,1,1.1,56,01-09-1992,01-09-1992,1992-09-01,1992,9,3
199210,2,220303,.69999999,.69999999,.75,.80000001,.89999998,.94999999,.99000001,1,1.15,57,01-10-1992,01-10-1992,1992-10-01,1992,10,4
199211,2,220303,.69999999,.69999999,.75999999,.80000001,.92499995,.94999999,.99000001,1,1.125,58,01-11-1992,01-11-1992,1992-11-01,1992,11,4
199212,2,220303,.69999999,.69999999,.75,.80000001,.88999999,.94999999,1,1.05,1.16,59,01-12-1992,01-12-1992,1992-12-01,1992,12,4
199301,2,220303,.64999998,.69999999,.75,.80000001,.88999999,.94999999,.99000001,1.05,1.2,60,01-01-1993,01-01-1993,1993-01-01,1993,1,1
199302,2,220303,.69999999,.69999999,.75,.80000001,.88999999,.94999999,1,1.15,1.2,61,01-02-1993,01-02-1993,1993-02-01,1993,2,1
199303,2,220303,.69999999,.75,.80000001,.80000001,.88999999,.94999999,.99000001,1.05,1.2,62,01-03-1993,01-03-1993,1993-03-01,1993,3,1
199304,2,220303,.69999999,.75,.80000001,.80000001,.80000001,.94999999,.99000001,1,1.2,63,01-04-1993,01-04-1993,1993-04-01,1993,4,2
199305,2,220303,.69999999,.75,.80000001,.80000001,.88999999,.94999999,.99000001,1,1.25,64,01-05-1993,01-05-1993,1993-05-01,1993,5,2
199306,2,220303,.69999999,.75,.80000001,.80000001,.88999999,.94999999,.99000001,1,1.25,65,01-06-1993,01-06-1993,1993-06-01,1993,6,2
199307,2,220303,.69999999,.75,.80000001,.80000001,.91999996,.94999999,.99000001,1.05,1.29,66,01-07-1993,01-07-1993,1993-07-01,1993,7,3
199308,2,220303,.69999999,.80000001,.80000001,.80000001,.94999999,.94999999,.99000001,1,1.2,67,01-08-1993,01-08-1993,1993-08-01,1993,8,3
199309,2,220303,.69999999,.77499998,.80000001,.81,.94999999,.99000001,1,1.15,1.295,68,01-09-1993,01-09-1993,1993-09-01,1993,9,3
199310,2,220303,.69999999,.80000001,.80000001,.81999999,.94999999,.99000001,1,1.15,1.3,69,01-10-1993,01-10-1993,1993-10-01,1993,10,4
199311,2,220303,.69999999,.80000001,.80000001,.81999999,.94999999,.99000001,1,1.12,1.29,70,01-11-1993,01-11-1993,1993-11-01,1993,11,4
199312,2,220303,.69999999,.80000001,.80000001,.81,.94999999,.99000001,1.05,1.15,1.29,71,01-12-1993,01-12-1993,1993-12-01,1993,12,4
199401,2,220303,.69999999,.80000001,.80000001,.89999998,.94999999,.99000001,1.05,1.15,1.3,72,01-01-1994,01-01-1994,1994-01-01,1994,1,1
199402,2,220303,.75,.80000001,.81999999,.89999998,.94999999,.99000001,1.05,1.2,1.3,73,01-02-1994,01-02-1994,1994-02-01,1994,2,1
199403,2,220303,.75,.80000001,.80000001,.89999998,.99000001,1,1.05,1.15,1.29,74,01-03-1994,01-03-1994,1994-03-01,1994,3,1
199404,2,220303,.80000001,.80000001,.85000002,.94999999,.99000001,1,1.1,1.2,1.29,75,01-04-1994,01-04-1994,1994-04-01,1994,4,2
199405,2,220303,.72500002,.80000001,.80000001,.89999998,.97000003,.995,1.075,1.2,1.325,76,01-05-1994,01-05-1994,1994-05-01,1994,5,2
199406,2,220303,.75,.80000001,.80000001,.89999998,.97000003,.995,1.075,1.175,1.3,77,01-06-1994,01-06-1994,1994-06-01,1994,6,2
199407,2,220303,.80000001,.80000001,.80000001,.89999998,.99000001,1,1.05,1.15,1.3,78,01-07-1994,01-07-1994,1994-07-01,1994,7,3
199408,2,220303,.80000001,.80000001,.85000002,.94999999,.99000001,1,1.1,1.22,1.35,79,01-08-1994,01-08-1994,1994-08-01,1994,8,3
199409,2,220303,.80000001,.80000001,.85000002,.89999998,.97000003,1,1.05,1.15,1.3,80,01-09-1994,01-09-1994,1994-09-01,1994,9,3
199410,2,220303,.80000001,.80000001,.85000002,.94999999,.99000001,1.05,1.1,1.2,1.35,81,01-10-1994,01-10-1994,1994-10-01,1994,10,4
199411,2,220303,.80000001,.80000001,.85000002,.92000002,.99000001,1,1.1,1.2,1.35,82,01-11-1994,01-11-1994,1994-11-01,1994,11,4
199412,2,220303,.80000001,.80000001,.85000002,.90999997,.99000001,1,1.05,1.15,1.3,83,01-12-1994,01-12-1994,1994-12-01,1994,12,4
199501,2,220303,.80000001,.80000001,.85000002,.92000002,.99000001,1.05,1.15,1.2,1.35,84,01-01-1995,01-01-1995,1995-01-01,1995,1,1
199502,2,220303,.80000001,.80000001,.89999998,.99000001,1.02,1.0599999,1.1,1.2,1.35,85,01-02-1995,01-02-1995,1995-02-01,1995,2,1
199503,2,220303,.80000001,.80000001,.89999998,.99000001,1.01,1.05,1.1,1.2,1.35,86,01-03-1995,01-03-1995,1995-03-01,1995,3,1
199504,2,220303,.80000001,.80000001,.90999997,.99000001,1.01,1.0599999,1.125,1.2,1.35,87,01-04-1995,01-04-1995,1995-04-01,1995,4,2
199505,2,220303,.80000001,.80000001,.92000002,.99000001,1.035,1.09,1.15,1.2,1.35,88,01-05-1995,01-05-1995,1995-05-01,1995,5,2
199506,2,220303,.80000001,.85000002,.94999999,.99000001,1.02,1.09,1.15,1.2,1.35,89,01-06-1995,01-06-1995,1995-06-01,1995,6,2
199507,2,220303,.80000001,.85000002,.94999999,.99000001,1,1.0700001,1.1,1.2,1.35,90,01-07-1995,01-07-1995,1995-07-01,1995,7,3
199508,2,220303,.80000001,.85000002,.94999999,.99000001,1.025,1.0700001,1.1,1.2,1.35,91,01-08-1995,01-08-1995,1995-08-01,1995,8,3
199509,2,220303,.80000001,.88,.94999999,.99000001,1.05,1.1,1.15,1.2,1.35,92,01-09-1995,01-09-1995,1995-09-01,1995,9,3
199510,2,220303,.80000001,.86500001,.94999999,.99000001,1.05,1.1,1.1900001,1.235,1.325,93,01-10-1995,01-10-1995,1995-10-01,1995,10,4
199511,2,220303,.80000001,.88999999,.94999999,.99000001,1.05,1.1,1.1900001,1.235,1.325,94,01-11-1995,01-11-1995,1995-11-01,1995,11,4
199512,2,220303,.80000001,.89999998,.94999999,.99000001,1,1.1,1.15,1.2,1.35,95,01-12-1995,01-12-1995,1995-12-01,1995,12,4
199601,2,220303,.80000001,.89999998,.94999999,.99000001,1.025,1.1,1.15,1.25,1.35,96,01-01-1996,01-01-1996,1996-01-01,1996,1,1
199602,2,220303,.80000001,.89999998,.94999999,1,1.025,1.1,1.2,1.3,1.35,97,01-02-1996,01-02-1996,1996-02-01,1996,2,1
199603,2,220303,.80000001,.89999998,.99000001,1,1.05,1.1900001,1.2,1.3,1.5,98,01-03-1996,01-03-1996,1996-03-01,1996,3,1
199604,2,220303,.80000001,.89999998,.99000001,1,1.1,1.1900001,1.25,1.3,1.5,99,01-04-1996,01-04-1996,1996-04-01,1996,4,2
199605,2,220303,.80000001,.89999998,.99000001,1,1.1,1.1900001,1.25,1.3,1.5,100,01-05-1996,01-05-1996,1996-05-01,1996,5,2
199606,2,220303,.80000001,.89999998,.99000001,1,1.1,1.2,1.3,1.35,1.4,101,01-06-1996,01-06-1996,1996-06-01,1996,6,2
199607,2,220303,.89999998,.89999998,.99000001,1,1.1,1.2,1.3,1.3,1.4,102,01-07-1996,01-07-1996,1996-07-01,1996,7,3
199608,2,220303,.80000001,.94999999,1,1.09,1.145,1.2,1.3,1.35,1.5,103,01-08-1996,01-08-1996,1996-08-01,1996,8,3
199609,2,220303,.80000001,.99000001,1,1.09,1.145,1.2,1.3,1.35,1.5,104,01-09-1996,01-09-1996,1996-09-01,1996,9,3
199610,2,220303,.89999998,.99000001,1,1.05,1.1,1.2,1.3,1.3,1.5,105,01-10-1996,01-10-1996,1996-10-01,1996,10,4
199611,2,220303,.89999998,.97000003,1,1.05,1.1,1.245,1.3,1.35,1.5,106,01-11-1996,01-11-1996,1996-11-01,1996,11,4
199612,2,220303,.89999998,.94999999,1,1.05,1.1,1.2,1.3,1.35,1.49,107,01-12-1996,01-12-1996,1996-12-01,1996,12,4
199701,2,220303,.89999998,.97000003,1,1.05,1.1,1.295,1.3,1.35,1.5,108,01-01-1997,01-01-1997,1997-01-01,1997,1,1
199702,2,220303,.89999998,.94999999,1,1.1,1.125,1.2,1.29,1.3,1.35,109,01-02-1997,01-02-1997,1997-02-01,1997,2,1
199703,2,220303,.89999998,1,1.1,1.1,1.2,1.25,1.3,1.35,1.75,110,01-03-1997,01-03-1997,1997-03-01,1997,3,1
199704,2,220303,.89999998,.99000001,1.075,1.1,1.1950001,1.25,1.3,1.4000001,1.75,111,01-04-1997,01-04-1997,1997-04-01,1997,4,2
199705,2,220303,.89999998,.99000001,1.075,1.145,1.2,1.29,1.3,1.325,1.725,112,01-05-1997,01-05-1997,1997-05-01,1997,5,2
199706,2,220303,.85000002,.98000002,1.05,1.1,1.2,1.29,1.3,1.35,2.0999999,113,01-06-1997,01-06-1997,1997-06-01,1997,6,2
199707,2,220303,.85000002,.98000002,1.05,1.1,1.2,1.25,1.3,1.3,1.6,114,01-07-1997,01-07-1997,1997-07-01,1997,7,3
199708,2,220303,.85000002,.98000002,1,1.1,1.2,1.29,1.3,1.35,1.75,115,01-08-1997,01-08-1997,1997-08-01,1997,8,3
199709,2,220303,.89999998,1,1.1,1.1,1.2,1.29,1.3,1.35,1.75,116,01-09-1997,01-09-1997,1997-09-01,1997,9,3
199710,2,220303,.92499995,.995,1.075,1.1,1.2,1.29,1.3,1.325,1.675,117,01-10-1997,01-10-1997,1997-10-01,1997,10,4
199711,2,220303,.89999998,1,1.1,1.1,1.2,1.29,1.3,1.35,1.6,118,01-11-1997,01-11-1997,1997-11-01,1997,11,4
199712,2,220303,.89999998,1,1.1,1.1,1.225,1.3,1.3,1.35,1.75,119,01-12-1997,01-12-1997,1997-12-01,1997,12,4
199801,2,220303,.89999998,1,1.05,1.1,1.2,1.29,1.3,1.35,1.75,120,01-01-1998,01-01-1998,1998-01-01,1998,1,1
199802,2,220303,.80000001,.99000001,1.1,1.1900001,1.25,1.29,1.3,1.35,1.75,121,01-02-1998,01-02-1998,1998-02-01,1998,2,1
199803,2,220303,.85000002,1,1.1,1.1,1.225,1.3,1.35,1.39,1.75,122,01-03-1998,01-03-1998,1998-03-01,1998,3,1
199804,2,220303,.85000002,.99000001,1.1,1.1,1.225,1.29,1.3,1.39,1.75,123,01-04-1998,01-04-1998,1998-04-01,1998,4,2
199805,2,220303,.80000001,.99000001,1.1,1.1,1.225,1.3,1.35,1.39,1.75,124,01-05-1998,01-05-1998,1998-05-01,1998,5,2
199806,2,220303,.80000001,.99000001,1.09,1.15,1.25,1.29,1.35,1.39,1.75,125,01-06-1998,01-06-1998,1998-06-01,1998,6,2
199807,2,220303,.80000001,.99000001,1.1,1.15,1.27,1.3,1.35,1.39,1.75,126,01-07-1998,01-07-1998,1998-07-01,1998,7,3
199808,2,220303,.94999999,1,1.1,1.2,1.3,1.35,1.39,1.45,1.75,127,01-08-1998,01-08-1998,1998-08-01,1998,8,3
199809,2,220303,.875,1,1.095,1.175,1.295,1.3,1.35,1.4400001,1.975,128,01-09-1998,01-09-1998,1998-09-01,1998,9,3
199810,2,220303,.89999998,1,1.1,1.2,1.3,1.3,1.35,1.4,1.75,129,01-10-1998,01-10-1998,1998-10-01,1998,10,4
199811,2,220303,.89999998,1,1.1,1.245,1.3,1.325,1.37,1.49,1.975,130,01-11-1998,01-11-1998,1998-11-01,1998,11,4
199812,2,220303,.89999998,1,1.1,1.2,1.3,1.3,1.35,1.4,1.75,131,01-12-1998,01-12-1998,1998-12-01,1998,12,4
199901,2,220303,.89999998,.94999999,1,1.15,1.3,1.3,1.35,1.49,1.75,132,01-01-1999,01-01-1999,1999-01-01,1999,1,1
199902,2,220303,.89999998,1,1.15,1.3,1.3,1.35,1.4,1.49,1.75,133,01-02-1999,01-02-1999,1999-02-01,1999,2,1
199903,2,220303,.89999998,1,1.15,1.29,1.3,1.35,1.4,1.5,1.75,134,01-03-1999,01-03-1999,1999-03-01,1999,3,1
199904,2,220303,.89999998,1,1.1,1.29,1.3,1.35,1.4,1.49,1.75,135,01-04-1999,01-04-1999,1999-04-01,1999,4,2
199905,2,220303,.89999998,1,1.1,1.3,1.3,1.39,1.45,1.55,1.75,136,01-05-1999,01-05-1999,1999-05-01,1999,5,2
199906,2,220303,.89999998,1.05,1.15,1.3,1.3,1.4,1.49,1.59,1.75,137,01-06-1999,01-06-1999,1999-06-01,1999,6,2
199907,2,220303,.89999998,1.1,1.29,1.3,1.3,1.4,1.49,1.59,1.79,138,01-07-1999,01-07-1999,1999-07-01,1999,7,3
199908,2,220303,.99000001,1.1,1.29,1.3,1.3,1.35,1.45,1.55,1.75,139,01-08-1999,01-08-1999,1999-08-01,1999,8,3
199909,2,220303,.99000001,1.1,1.15,1.29,1.3,1.35,1.4,1.59,1.75,140,01-09-1999,01-09-1999,1999-09-01,1999,9,3
199910,2,220303,1,1.1,1.2,1.29,1.3,1.35,1.4,1.59,1.79,141,01-10-1999,01-10-1999,1999-10-01,1999,10,4
199911,2,220303,.99000001,1.05,1.15,1.29,1.3,1.3,1.4,1.5,1.59,142,01-11-1999,01-11-1999,1999-11-01,1999,11,4
199912,2,220303,.99000001,1.075,1.2,1.29,1.3,1.3,1.4,1.59,1.79,143,01-12-1999,01-12-1999,1999-12-01,1999,12,4
200001,2,220303,.99000001,1.1,1.2,1.29,1.3,1.3,1.4,1.59,1.79,144,01-01-2000,01-01-2000,2000-01-01,2000,1,1
200002,2,220303,1,1.1,1.2,1.25,1.3,1.3,1.35,1.5,1.79,145,01-02-2000,01-02-2000,2000-02-01,2000,2,1
200003,2,220303,1,1.1,1.2,1.29,1.3,1.3,1.4,1.52,1.75,146,01-03-2000,01-03-2000,2000-03-01,2000,3,1
200004,2,220303,1,1.15,1.25,1.3,1.3,1.3200001,1.45,1.5,1.59,147,01-04-2000,01-04-2000,2000-04-01,2000,4,2
200005,2,220303,.97500002,1.125,1.225,1.295,1.3,1.36,1.45,1.495,1.6700001,148,01-05-2000,01-05-2000,2000-05-01,2000,5,2
200006,2,220303,1,1.15,1.25,1.3,1.35,1.4,1.45,1.5,1.59,149,01-06-2000,01-06-2000,2000-06-01,2000,6,2
200007,2,220303,1,1.15,1.25,1.3,1.35,1.39,1.45,1.5,1.6,150,01-07-2000,01-07-2000,2000-07-01,2000,7,3
200008,2,220303,.94999999,1.1,1.25,1.3,1.35,1.4,1.45,1.5,2.1900001,151,01-08-2000,01-08-2000,2000-08-01,2000,8,3
200009,2,220303,1,1.2,1.25,1.3,1.39,1.45,1.5,1.5,1.79,152,01-09-2000,01-09-2000,2000-09-01,2000,9,3
200010,2,220303,1.1,1.2,1.29,1.3200001,1.35,1.4,1.5,1.5,1.6900001,153,01-10-2000,01-10-2000,2000-10-01,2000,10,4
200011,2,220303,1.1,1.2,1.25,1.3200001,1.35,1.4,1.5,1.6,1.85,154,01-11-2000,01-11-2000,2000-11-01,2000,11,4
200012,2,220303,1.1,1.2,1.25,1.3200001,1.35,1.4,1.5,1.5,1.6900001,155,01-12-2000,01-12-2000,2000-12-01,2000,12,4
200101,2,220303,1.1,1.175,1.25,1.325,1.35,1.395,1.475,1.55,1.87,156,01-01-2001,01-01-2001,2001-01-01,2001,1,1
200102,2,220303,1.1,1.2,1.27,1.35,1.35,1.395,1.55,1.74,1.87,157,01-02-2001,01-02-2001,2001-02-01,2001,2,1
200103,2,220303,1.1,1.2,1.3,1.35,1.37,1.5,1.6,1.79,1.89,158,01-03-2001,01-03-2001,2001-03-01,2001,3,1
200104,2,220303,1.1,1.175,1.3,1.35,1.395,1.525,1.625,1.8399999,2.0900002,159,01-04-2001,01-04-2001,2001-04-01,2001,4,2
200105,2,220303,1.1,1.2,1.3,1.35,1.4200001,1.5,1.6900001,1.89,1.99,160,01-05-2001,01-05-2001,2001-05-01,2001,5,2
200106,2,220303,1.1,1.2,1.3,1.4,1.49,1.59,1.6900001,1.79,1.99,161,01-06-2001,01-06-2001,2001-06-01,2001,6,2
200107,2,220303,1.2,1.2,1.3,1.4,1.5,1.6,1.7,1.89,2.1900001,162,01-07-2001,01-07-2001,2001-07-01,2001,7,3
200108,2,220303,1.2,1.2,1.35,1.4,1.495,1.6,1.7,1.79,1.99,163,01-08-2001,01-08-2001,2001-08-01,2001,8,3
200109,2,220303,1.2,1.2,1.35,1.45,1.5,1.62,1.7,1.79,1.99,164,01-09-2001,01-09-2001,2001-09-01,2001,9,3
200110,2,220303,1.15,1.2,1.3,1.4,1.45,1.5,1.7,1.77,1.99,165,01-10-2001,01-10-2001,2001-10-01,2001,10,4
200111,2,220303,1.2,1.2,1.3,1.4,1.47,1.5,1.7,1.79,1.99,166,01-11-2001,01-11-2001,2001-11-01,2001,11,4
200112,2,220303,1.15,1.2,1.3,1.4,1.47,1.5,1.7,1.85,1.99,167,01-12-2001,01-12-2001,2001-12-01,2001,12,4
200201,2,220303,1.15,1.2,1.3,1.4,1.475,1.59,1.7,1.89,2.1900001,168,01-01-2002,01-01-2002,2002-01-01,2002,1,1
200202,2,220303,1.2,1.2,1.2,1.3,1.4,1.45,1.7,1.79,1.99,169,01-02-2002,01-02-2002,2002-02-01,2002,2,1
200203,2,220303,1.1,1.2,1.2,1.3,1.4,1.45,1.5,1.75,1.9,170,01-03-2002,01-03-2002,2002-03-01,2002,3,1
200204,2,220303,1.1,1.2,1.2,1.3,1.4,1.47,1.5,1.75,1.9,171,01-04-2002,01-04-2002,2002-04-01,2002,4,2
200205,2,220303,1.1,1.2,1.2,1.3,1.4,1.45,1.59,1.79,1.99,172,01-05-2002,01-05-2002,2002-05-01,2002,5,2
200206,2,220303,1.15,1.2,1.25,1.3,1.45,1.45,1.59,1.75,1.99,173,01-06-2002,01-06-2002,2002-06-01,2002,6,2
200207,2,220303,1.1,1.2,1.29,1.3,1.45,1.49,1.59,1.89,1.99,174,01-07-2002,01-07-2002,2002-07-01,2002,7,3
200208,2,220303,1.15,1.2,1.29,1.4,1.45,1.49,1.59,1.75,1.9,175,01-08-2002,01-08-2002,2002-08-01,2002,8,3
200209,2,220303,1.2,1.2,1.29,1.3,1.45,1.49,1.59,1.75,1.9,176,01-09-2002,01-09-2002,2002-09-01,2002,9,3
200210,2,220303,1.15,1.2,1.2,1.3,1.45,1.45,1.59,1.75,1.9,177,01-10-2002,01-10-2002,2002-10-01,2002,10,4
200211,2,220303,1.15,1.2,1.3,1.3,1.45,1.49,1.59,1.89,1.99,178,01-11-2002,01-11-2002,2002-11-01,2002,11,4
200212,2,220303,1.2,1.2,1.3,1.3499999,1.45,1.49,1.59,1.8199999,1.99,179,01-12-2002,01-12-2002,2002-12-01,2002,12,4
200301,2,220303,1.2,1.2,1.3,1.3,1.45,1.5,1.7,1.89,1.99,180,01-01-2003,01-01-2003,2003-01-01,2003,1,1
200302,2,220303,1.2,1.3,1.3,1.45,1.45,1.5,1.75,1.9,1.99,181,01-02-2003,01-02-2003,2003-02-01,2003,2,1
200303,2,220303,.99000001,1.2,1.3,1.45,1.45,1.49,1.75,1.89,1.99,182,01-03-2003,01-03-2003,2003-03-01,2003,3,1
200304,2,220303,1,1.2,1.3,1.45,1.45,1.45,1.5,1.89,1.99,183,01-04-2003,01-04-2003,2003-04-01,2003,4,2
