Year,Country,Value1,Value2,Value3,Detail,,,
2006,Germany,2.99486,1.829604,61.09147005,,,,
2007,Germany,3.42598,1.8395055,53.69282658,,,,
2008,Germany,3.74485,1.918798,51.23831395,,,,
2009,Germany,3.40756,2.052911,60.24577704,,,,
2010,Germany,3.40244,2.427627,71.34959029,,,,
2011,Germany,3.74866,2.470085,65.89247891,,,,
2012,Germany,3.52938,2.5597505,72.52691691,,,,
2013,Germany,3.73386,2.543133,68.11002555,,,,
2014,Germany,3.8901,2.5456055,65.43804787,,,,
2015,Germany,3.35793,2.51666,74.9467678,,,,
2016,Germany,3.4689,2.4973975,71.99393179,,,,
2017,Germany,3.6813,2.4405875,66.2968924,,,,
2018,Germany,3.96557,2.38464,60.13359996,,,,
2019,Germany,3.86155,2.3657455,61.26414264,,,,
2020,Germany,3.80301,2.641297,69.45280186,,,,
2002,Italy,1.27587,1.651561,129.4458683,,,,
2003,Italy,1.57723,1.6920295,107.2785516,,,,
2004,Italy,1.80572,1.75536,97.21108478,,,,
2005,Italy,1.85924,1.830317,98.44436436,,,,
2006,Italy,1.94966,1.9059295,97.75701917,,,,
2007,Italy,2.21337,1.9292975,87.16561171,,,,
2008,Italy,2.40839,1.9994475,83.02008811,,,,
2009,Italy,2.19754,2.1151145,96.24919228,,,,
2010,Italy,2.13785,2.208713,103.3146853,,,,
2011,Italy,2.29459,2.2694445,98.90413974,,,,
2012,Italy,2.08828,2.362905,113.1507748,,,,
2013,Italy,2.14195,2.456607,114.6902122,,,,
2014,Italy,2.16257,2.5333925,117.1473062,,,,
2015,Italy,1.83682,2.575264,140.2023062,,,,
2016,Italy,1.87655,2.6284745,140.0695159,,,,
2017,Italy,1.96111,2.678764,136.5942757,,,,
2018,Italy,2.09309,2.7380925,130.8158034,,,,
2019,Italy,2.00514,2.771385,138.2140399,,,,
2020,Italy,1.88494,2.954649,156.7502944,,,,
2002,Japan,4.18285,7.2737901,173.8955521,,,,
2003,Japan,4.51956,7.5461283,166.9659945,,,,
2004,Japan,4.89314,8.0755308,165.0378039,,,,
2005,Japan,4.83147,8.3532483,172.8924799,,,,
2006,Japan,4.60166,8.3823687,182.1596706,,,,
2007,Japan,4.57975,8.3873475,183.1398548,,,,
2008,Japan,5.10668,8.5846977,168.1072184,,,,
2009,Japan,5.28949,8.8510977,167.3336692,,,,
2010,Japan,5.75907,9.3585744,162.5014872,,,,
2011,Japan,6.23315,9.808947,157.3674145,,,,
2012,Japan,6.27236,10.1838366,162.3605246,,,,
2013,Japan,5.21233,10.5129819,201.6944802,,,,
2014,Japan,4.897,10.9041111,222.6692077,,,,
2015,Japan,4.44493,11.0596392,248.814699,,,,
2016,Japan,5.00368,11.391804,227.668516,,,,
2017,Japan,4.93084,11.5191,233.6133397,,,,
2018,Japan,5.03689,11.6387289,231.0697454,,,,
2019,Japan,5.14878,11.8636803,230.4173086,,,,
2020,Japan,5.04869,12.43074915,246.2173188,,,,
2002,UK,1.78289,0.55265504,30.99770822,,,,
2003,UK,2.05279,0.60474712,29.45976549,,,,
2004,UK,2.41313,0.6878676,28.50520279,,,,
2005,UK,2.53564,0.75007944,29.58146425,,,,
2006,UK,2.70983,0.81038592,29.90541547,,,,
2007,UK,3.09459,0.87360688,28.23013323,,,,
2008,UK,2.95233,1.06614752,36.11207148,,,,
2009,UK,2.42102,1.3308348,54.97000438,,,,
2010,UK,2.48402,1.6222624,65.30794438,,,,
2011,UK,2.66079,1.8056584,67.86174031,,,,
2012,UK,2.7045,1.9360008,71.58442596,,,,
2013,UK,2.78506,2.0376336,73.16300546,,,,
2014,UK,3.06712,2.1805152,71.09324709,,,,
2015,UK,2.93343,2.263992,77.17900206,,,,
2016,UK,2.70324,2.3540512,87.08258238,,,,
2017,UK,2.66471,2.4284568,91.13399957,,,,
2018,UK,2.86098,2.4984968,87.33010367,,,,
2019,UK,2.8333,2.5718552,90.77242791,,,,
2020,UK,2.71097,2.9788896,109.8827947,,,,
2002,United States,10.93645,6.07022,55.50448272,,,,
2003,United States,11.45825,6.71629,58.61532084,,,,
2004,United States,12.21373,8.07602,66.12247037,,,,
2005,United States,13.03663,8.53508,65.46998726,,,,
2006,United States,13.8146,8.86858,64.19715374,,,,
2007,United States,14.45188,9.34537,64.66542761,,,,
2008,United States,14.71283,10.84457,73.70825327,,,,
2009,United States,14.44893,12.53524,86.75548985,,,,
2010,United States,14.99205,14.31629,95.49254438,,,,
2011,United States,15.5426,15.51812,99.84249739,,,,
2012,United States,16.19705,16.74028,103.3538823,,,,
2013,United States,16.78483,17.59753,104.8418721,,,,
2014,United States,17.52728,18.32818,104.5694483,,,,
2015,United States,18.2383,19.08993,104.6694593,,,,
2016,United States,18.7451,19.98642,106.6221039,,,,
2017,United States,19.54298,20.64215,105.6243725,,,,
2018,United States,20.61188,21.97229,106.6001258,,,,
2019,United States,21.43323,23.18859,108.1898995,,,,
2020,United States,20.93275,26.60834,127.1134466,,,,
