,Price,Desc,All,Type,Date
26,£4.00,b'Thatchers Haze Cloudy Cider',b'Thatchers Haze Cloudy Cider 4x440ml \xc2\xa34.00/unit \xc2\xa32.27/ltr',Cider,2021-03-01
27,£1.80,b'Old Mout Cider Berries & Cherries Bottle',b'Old Mout Cider Berries & Cherries Bottle 500ml \xc2\xa31.80/unit \xc2\xa33.60/ltr',Cider,2021-03-01
28,£1.00,b'Bulmers Original Cider Bottle',b'Bulmers Original Cider Bottle 500ml Only \xc2\xa31.00: Save 50p \xc2\xa31.00/unit \xc2\xa32.00/ltr',Cider,2021-03-01
29,£2.00,b'Thatchers Vintage Cider',b'Thatchers Vintage Cider 500ml \xc2\xa32.00/unit \xc2\xa34.00/ltr',Cider,2021-03-01
30,£7.00,b'Bulmers Crushed Red Berries & Lime Cider Bottles',b'Bulmers Crushed Red Berries & Lime Cider Bottles 6 x 500ml \xc2\xa37.00/unit \xc2\xa32.33/ltr',Cider,2021-03-01
31,£4.50,b'Strongbow Dark Fruit Cider Cans',b'Strongbow Dark Fruit Cider Cans 4 x 440ml \xc2\xa34.50/unit \xc2\xa32.56/ltr',Cider,2021-03-01
32,£1.30,b'Kopparberg Pear Alcohol Free Cider',b'Kopparberg Pear Alcohol Free Cider 500ml \xc2\xa31.30/unit \xc2\xa32.60/ltr',Cider,2021-03-01
33,£3.75,b'Magners Irish Cider Original Cans',b'Magners Irish Cider Original Cans 4x440ml \xc2\xa33.75/unit \xc2\xa32.13/ltr',Cider,2021-03-01
34,£9.00,b'Thatchers Haze Cloudy Somerset Cider',b'Thatchers Haze Cloudy Somerset Cider 10x440ml \xc2\xa39.00/unit \xc2\xa32.05/ltr',Cider,2021-03-01
35,£1.80,b'Old Mout Cider Pineapple & Raspberry Bottle',b'Old Mout Cider Pineapple & Raspberry Bottle 500ml \xc2\xa31.80/unit \xc2\xa33.60/ltr',Cider,2021-03-01
36,£1.50,b'Bulmers Crushed Red Berries & Lime Cider Bottle',b'Bulmers Crushed Red Berries & Lime Cider Bottle 500ml \xc2\xa31.50/unit \xc2\xa33.00/ltr',Cider,2021-03-01
37,£1.00,b'Strongbow Rose Cider',b'Strongbow Rose Cider 500ml Only \xc2\xa31.00: Save 80p \xc2\xa31.00/unit \xc2\xa32.00/ltr',Cider,2021-03-01
38,£1.30,b'Kopparberg Strawberry & Lime Alcohol Free Cider',b'Kopparberg Strawberry & Lime Alcohol Free Cider 500ml \xc2\xa31.30/unit \xc2\xa32.60/ltr',Cider,2021-03-01
39,£1.80,b'Kopparberg Rhubarb Cider',b'Kopparberg Rhubarb Cider 500ml \xc2\xa31.80/unit \xc2\xa33.60/ltr',Cider,2021-03-01
40,£10.00,b'Strongbow Original Cider Can',b'Strongbow Original Cider Can 12x440ml \xc2\xa310.00/unit \xc2\xa31.89/ltr',Cider,2021-03-01
41,£3.75,"b""Sainsbury's Dark Fruit Cider""","b""Sainsbury's Dark Fruit Cider 4x440ml \xc2\xa33.75/unit \xc2\xa32.13/ltr""",Cider,2021-03-01
42,£5.50,b'Thatchers Ros\xc3\xa9 Sweet Sparkling Somerset Cider',b'Thatchers Ros\xc3\xa9 Sweet Sparkling Somerset Cider 4x440ml \xc2\xa35.50/unit \xc2\xa33.13/ltr',Cider,2021-03-01
43,£3.50,b'Kopparberg Mixed Fruits Alcohol Free Cider',b'Kopparberg Mixed Fruits Alcohol Free Cider 4x330ml \xc2\xa33.50/unit \xc2\xa32.65/ltr',Cider,2021-03-01
44,£1.25,b'Old Mout Berries & Cherries Alcohol Free Cider',b'Old Mout Berries & Cherries Alcohol Free Cider 500ml \xc2\xa31.25/unit \xc2\xa32.50/ltr',Cider,2021-03-01
45,£9.00,b'Strongbow Cloudy Apple',b'Strongbow Cloudy Apple 10x440ml \xc2\xa39.00/unit \xc2\xa32.05/ltr',Cider,2021-03-01
46,£1.90,b'Thatchers Rascal Cider',b'Thatchers Rascal Cider 500ml \xc2\xa31.90/unit \xc2\xa33.80/ltr',Cider,2021-03-01
47,£2.50,b'Aspall Imperial Cyder',b'Aspall Imperial Cyder 500ml \xc2\xa32.50/unit \xc2\xa35.00/ltr',Cider,2021-03-01
48,£1.80,b'Kopparberg Premium Cider with Cherry',b'Kopparberg Premium Cider with Cherry 500ml \xc2\xa31.80/unit \xc2\xa33.60/ltr',Cider,2021-03-01
49,£10.00,b'Strongbow Rose Cider',b'Strongbow Rose Cider 10x440ml Only \xc2\xa310.00: Save \xc2\xa31.00 \xc2\xa310.00/unit \xc2\xa32.27/ltr',Cider,2021-03-01
50,£2.10,b'Sxollie Granny Smith Cider',b'Sxollie Granny Smith Cider 500ml \xc2\xa32.10/unit \xc2\xa34.20/ltr',Cider,2021-03-01
51,£2.10,b'Dunkertons Organic Black Fox Medium Dry Cider',b'Dunkertons Organic Black Fox Medium Dry Cider 500ml \xc2\xa32.10/unit \xc2\xa34.20/ltr',Cider,2021-03-01
52,£1.90,b'Kopparberg Rose Cider',b'Kopparberg Rose Cider 500ml \xc2\xa31.90/unit \xc2\xa33.80/ltr',Cider,2021-03-01
53,£7.00,b'Henry Westons Vintage Cider',b'Henry Westons Vintage Cider 4x500ml \xc2\xa37.00/unit \xc2\xa33.50/ltr',Cider,2021-03-01
54,£3.50,b'Kopparberg Strawberry & Lime Alcohol Free Cider',b'Kopparberg Strawberry & Lime Alcohol Free Cider 4x330ml \xc2\xa33.50/unit \xc2\xa32.65/ltr',Cider,2021-03-01
55,£5.50,b'Thatchers Cloudy Lemon Cider',b'Thatchers Cloudy Lemon Cider 4x440ml \xc2\xa35.50/unit \xc2\xa33.13/ltr',Cider,2021-03-01
56,£12.00,b'Thatchers Ros\xc3\xa9',b'Thatchers Ros\xc3\xa9 10x440ml \xc2\xa312.00/unit \xc2\xa32.73/ltr',Cider,2021-03-01
57,£2.10,b'Sxollie Golden Delicious Cider',b'Sxollie Golden Delicious Cider 500ml \xc2\xa32.10/unit \xc2\xa34.20/ltr',Cider,2021-03-01
58,£3.75,b'Strongbow Cloudy Apple Cider',b'Strongbow Cloudy Apple Cider 440ml Can \xc2\xa33.75/unit \xc2\xa32.13/ltr',Cider,2021-03-01
59,£2.00,b'Thatchers Ros\xc3\xa9 Cider',b'Thatchers Ros\xc3\xa9 Cider 500ml \xc2\xa32.00/unit \xc2\xa34.00/ltr',Cider,2021-03-01
0,£10.00,b'Bud Light Lager Beer cans',b'Bud Light Lager Beer cans 18x440ml Only \xc2\xa310.00: Save \xc2\xa35.00 \xc2\xa310.00/unit \xc2\xa31.26/ltr',Lager,2021-03-01
1,£4.50,b'Hop House',b'Hop House 13 Lager 4x330ml Only \xc2\xa34.50: Save 50p \xc2\xa34.50/unit \xc2\xa33.41/ltr',Lager,2021-03-01
2,£16.00,b'Stella Artois Premium Lager Beer Cans',b'Stella Artois Premium Lager Beer Cans 18x440ml \xc2\xa316.00/unit \xc2\xa32.02/ltr',Lager,2021-03-01
3,£8.00,b'Budweiser Lager Beer Bottles',b'Budweiser Lager Beer Bottles 15x300ml Only \xc2\xa38.00: Save \xc2\xa34.00 \xc2\xa38.00/unit \xc2\xa31.78/ltr',Lager,2021-03-01
4,£16.50,b'Peroni Nastro Azzurro Lager',b'Peroni Nastro Azzurro Lager 12x330ml \xc2\xa316.50/unit \xc2\xa34.17/ltr',Lager,2021-03-01
5,£13.00,"b""Foster's Lager Beer Cans""","b""Foster's Lager Beer Cans 18 x 440ml \xc2\xa313.00/unit \xc2\xa31.64/ltr""",Lager,2021-03-01
6,£2.50,b'Corona Extra Premium Lager Beer Bottles',b'Corona Extra Premium Lager Beer Bottles 12x330ml Only \xc2\xa310.00: Save \xc2\xa33.00 \xc2\xa310.00/unit \xc2\xa32.52/ltr',Lager,2021-03-01
7,£9.50,b'Stella Artois Premium Lager Beer Bottles',b'Stella Artois Premium Lager Beer Bottles 15x284ml Only \xc2\xa39.50: Save \xc2\xa31.50 \xc2\xa39.50/unit \xc2\xa32.23/ltr',Lager,2021-03-01
8,£11.00,b'Kronenbourg',b'Kronenbourg 1664 Lager Beer Bottles 15 x 275ml \xc2\xa311.00/unit \xc2\xa32.67/ltr',Lager,2021-03-01
9,£9.00,b'San Miguel Especial Premium Lager Bottles',b'San Miguel Especial Premium Lager Bottles 12x330ml Only \xc2\xa39.00: Save \xc2\xa33.00 \xc2\xa39.00/unit \xc2\xa32.27/ltr',Lager,2021-03-01
10,£16.00,b'Budweiser Lager Beer Cans',b'Budweiser Lager Beer Cans 18x440ml \xc2\xa316.00/unit \xc2\xa32.02/ltr',Lager,2021-03-01
11,£2.50,b'Carling Original Lager Beer Cans x',b'Carling Original Lager Beer Cans x18 440ml \xc2\xa313.00/unit \xc2\xa31.64/ltr',Lager,2021-03-01
12,£1.00,b'Birra Moretti Lager Beer Bottles',b'Birra Moretti Lager Beer Bottles 4 x 330ml \xc2\xa35.00/unit \xc2\xa33.79/ltr',Lager,2021-03-01
13,£1.90,b'Birra Moretti Lager Beer Bottle',b'Birra Moretti Lager Beer Bottle 660ml \xc2\xa31.90/unit \xc2\xa32.88/ltr',Lager,2021-03-01
14,£1.25,b'Depot No.',b'Depot No.90 Lager 4x440ml \xc2\xa31.25/unit 71p/ltr',Lager,2021-03-01
15,£2.00,b'Peroni Nastro Azzurro Lager',b'Peroni Nastro Azzurro Lager 18x330ml \xc2\xa323.00/unit \xc2\xa33.87/ltr',Lager,2021-03-01
16,£5.25,b'Stella Artois Premium Lager Beer Cans',b'Stella Artois Premium Lager Beer Cans 4x568ml \xc2\xa35.25/unit \xc2\xa32.31/ltr',Lager,2021-03-01
17,£11.00,b'Coors Light Lager Beer Bottles x',b'Coors Light Lager Beer Bottles x15 330ml \xc2\xa311.00/unit \xc2\xa32.22/ltr',Lager,2021-03-01
18,£12.00,b'Birra Moretti Lager Beer Bottles',b'Birra Moretti Lager Beer Bottles 12 x 330ml Only \xc2\xa312.00: Save \xc2\xa32.00 \xc2\xa312.00/unit \xc2\xa33.03/ltr',Lager,2021-03-01
19,£9.00,b'Heineken Premium Lager Beer Bottles',b'Heineken Premium Lager Beer Bottles 12x330ml Only \xc2\xa39.00: Save \xc2\xa33.00 \xc2\xa39.00/unit \xc2\xa32.27/ltr',Lager,2021-03-01
20,£5.00,b'Peroni Nastro Azzurro Lager',b'Peroni Nastro Azzurro Lager 4x330ml Only \xc2\xa35.00: Save 75p \xc2\xa35.00/unit \xc2\xa33.79/ltr',Lager,2021-03-01
21,£16.00,b'Corona Extra Premium Lager Beer bottles',b'Corona Extra Premium Lager Beer bottles 18x330ml \xc2\xa316.00/unit \xc2\xa32.69/ltr',Lager,2021-03-01
22,£5.00,b'Corona Extra Premium Lager Beer bottles',b'Corona Extra Premium Lager Beer bottles 4x330ml \xc2\xa35.00/unit \xc2\xa33.79/ltr',Lager,2021-03-01
23,£4.50,b'Kronenbourg',b'Kronenbourg 1664 Lager Beer Cans 4 x 440ml \xc2\xa34.50/unit \xc2\xa32.56/ltr',Lager,2021-03-01
24,£4.00,b'San Miguel Especial Premium Lager Cans',b'San Miguel Especial Premium Lager Cans 4x440ml \xc2\xa34.00/unit \xc2\xa32.27/ltr',Lager,2021-03-01
25,£1.90,b'San Miguel Especial Premium Lager Bottle',b'San Miguel Especial Premium Lager Bottle 660ml \xc2\xa31.90/unit \xc2\xa32.88/ltr',Lager,2021-03-01
26,£2.20,b'Peroni Nastro Azzurro Lager',b'Peroni Nastro Azzurro Lager 620ml \xc2\xa32.20/unit \xc2\xa33.55/ltr',Lager,2021-03-01
27,£5.25,b'Heineken Premium Lager Beer Cans',b'Heineken Premium Lager Beer Cans 6 x 330ml \xc2\xa35.25/unit \xc2\xa32.65/ltr',Lager,2021-03-01
28,£3.49,"b""Foster's Lager Beer Cans""","b""Foster's Lager Beer Cans 4 x 440ml \xc2\xa33.49/unit \xc2\xa31.98/ltr""",Lager,2021-03-01
29,£4.25,b'Stella Artois Premium Lager Beer Cans',b'Stella Artois Premium Lager Beer Cans 4x440ml \xc2\xa34.25/unit \xc2\xa32.41/ltr',Lager,2021-03-01
30,£4.05,b'Holsten Pils Lager',b'Holsten Pils Lager 4x440ml \xc2\xa34.05/unit \xc2\xa32.30/ltr',Lager,2021-03-01
31,£1.50,"b""Sainsbury's Czech Pilsner Lager""","b""Sainsbury's Czech Pilsner Lager 500ml \xc2\xa31.50/unit \xc2\xa33.00/ltr""",Lager,2021-03-01
32,£14.00,b'Estrella Damm Lager',b'Estrella Damm Lager 12x330ml \xc2\xa314.00/unit \xc2\xa33.54/ltr',Lager,2021-03-01
33,£1.90,b'Singha Premium Thai Lager',b'Singha Premium Thai Lager 630ml \xc2\xa31.90/unit \xc2\xa33.02/ltr',Lager,2021-03-01
34,£4.60,b'Desperados Tequila Lager Beer Bottles',b'Desperados Tequila Lager Beer Bottles 3 x 330ml \xc2\xa34.60/unit \xc2\xa34.65/ltr',Lager,2021-03-01
35,£7.50,b'Carlsberg Special Brew Lager',b'Carlsberg Special Brew Lager 4x440ml \xc2\xa37.50/unit \xc2\xa34.26/ltr',Lager,2021-03-01
36,£1.90,b'Stella Artois Premium Lager Beer Bottle',b'Stella Artois Premium Lager Beer Bottle 660ml \xc2\xa31.90/unit \xc2\xa32.88/ltr',Lager,2021-03-01
37,£1.90,b'Staropramen Premium Czech Lager',b'Staropramen Premium Czech Lager 660ml \xc2\xa31.90/unit \xc2\xa32.88/ltr',Lager,2021-03-01
38,£13.00,b'Staropramen Premium Czech Lager',b'Staropramen Premium Czech Lager 12x330ml \xc2\xa313.00/unit \xc2\xa33.28/ltr',Lager,2021-03-01
39,£1.90,b'Cobra Premium Beer',b'Cobra Premium Beer 620ml \xc2\xa31.90/unit \xc2\xa33.06/ltr',Lager,2021-03-01
40,£3.80,b'San Miguel Especial Premium Lager Bottles',b'San Miguel Especial Premium Lager Bottles 4x330ml \xc2\xa33.80/unit \xc2\xa32.88/ltr',Lager,2021-03-01
41,£4.50,"b""Beck's German Pilsner Beer Bottles""","b""Beck's German Pilsner Beer Bottles 6x275ml \xc2\xa34.50/unit \xc2\xa32.73/ltr""",Lager,2021-03-01
42,£1.80,b'Tiger Beer',b'Tiger Beer 640ml \xc2\xa31.80/unit \xc2\xa32.81/ltr',Lager,2021-03-01
43,£5.50,b'Estrella Damm Beer',b'Estrella Damm Beer 4x330ml \xc2\xa35.50/unit \xc2\xa34.17/ltr',Lager,2021-03-01
44,£10.00,b'Amstel Lager Beer Bottles',b'Amstel Lager Beer Bottles 15 x 300ml \xc2\xa310.00/unit \xc2\xa32.22/ltr',Lager,2021-03-01
45,£4.50,b'Budweiser Lager Beer Bottles',b'Budweiser Lager Beer Bottles 6x300ml \xc2\xa34.50/unit \xc2\xa32.50/ltr',Lager,2021-03-01
46,£1.80,"b""Beck's German Pilsner Beer bottle""","b""Beck's German Pilsner Beer bottle 660ml \xc2\xa31.80/unit \xc2\xa32.73/ltr""",Lager,2021-03-01
47,£10.00,b'Hop House',b'Hop House 13 Lager 12x330ml Only \xc2\xa310.00: Save \xc2\xa32.00 \xc2\xa310.00/unit \xc2\xa32.52/ltr',Lager,2021-03-01
48,£5.75,b'Birra Moretti Lager Beer Cans',b'Birra Moretti Lager Beer Cans 6 x 330ml \xc2\xa35.75/unit \xc2\xa32.90/ltr',Lager,2021-03-01
49,£3.60,b'Carling Original Lager Beer Cans x',b'Carling Original Lager Beer Cans x4 440ml \xc2\xa33.60/unit \xc2\xa32.05/ltr',Lager,2021-03-01
50,£1.80,b'Heineken Premium Lager Beer Bottle',b'Heineken Premium Lager Beer Bottle 650ml \xc2\xa31.80/unit \xc2\xa32.77/ltr',Lager,2021-03-01
51,£4.00,b'Budweiser Lager Beer Cans',b'Budweiser Lager Beer Cans 4x440ml \xc2\xa34.00/unit \xc2\xa32.27/ltr',Lager,2021-03-01
52,£1.75,b'Tsingtao Beer',b'Tsingtao Beer 640ml Only \xc2\xa31.75: Save 15p \xc2\xa31.75/unit \xc2\xa32.74/ltr',Lager,2021-03-01
53,£2.20,b'Estrella Damm Lager',b'Estrella Damm Lager 660ml \xc2\xa32.20/unit \xc2\xa33.33/ltr',Lager,2021-03-01
54,£1.90,b'Hop House',b'Hop House 13 Lager 650ml \xc2\xa31.90/unit \xc2\xa32.92/ltr',Lager,2021-03-01
55,£7.00,b'Estrella Damm Lager',b'Estrella Damm Lager 6x330ml \xc2\xa37.00/unit \xc2\xa33.54/ltr',Lager,2021-03-01
56,£1.90,b'Warsteiner Beer',b'Warsteiner Beer 660ml \xc2\xa31.90/unit \xc2\xa32.88/ltr',Lager,2021-03-01
57,£2.75,"b""Sainsbury's Crown Lager""","b""Sainsbury's Crown Lager 4x440ml \xc2\xa32.75/unit \xc2\xa31.56/ltr""",Lager,2021-03-01
58,£4.00,b'Stella Artois Premium Lager Beer Bottles',b'Stella Artois Premium Lager Beer Bottles 4x330ml \xc2\xa34.00/unit \xc2\xa33.03/ltr',Lager,2021-03-01
59,£3.75,b'Amstel Lager Beer Cans',b'Amstel Lager Beer Cans 4 x 440ml \xc2\xa33.75/unit \xc2\xa32.13/ltr',Lager,2021-03-01
0,£10.00,"b""Sainsbury's Conegliano Prosecco, Taste the Differe""","b""Sainsbury's Conegliano Prosecco, Taste the Difference 75cl \xc2\xa310.00/unit \xc2\xa310.00/75cl""",Champagne,2021-03-01
1,£11.50,"b""Sainsbury's Cr\xc3\xa9mant De Loire, Taste the Differenc""","b""Sainsbury's Cr\xc3\xa9mant De Loire, Taste the Difference 75cl \xc2\xa311.50/unit \xc2\xa311.50/75cl""",Champagne,2021-03-01
2,£5.00,b'Mo\xc3\xabt & Chandon Imp\xc3\xa9rial Brut Non Vintage Champag',b'Mo\xc3\xabt & Chandon Imp\xc3\xa9rial Brut Non Vintage Champagne 75cl \xc2\xa337.00/unit \xc2\xa337.00/75cl',Champagne,2021-03-01
3,£14.00,b'Graham Beck The Joshua Brut',b'Graham Beck The Joshua Brut 750ml \xc2\xa314.00/unit \xc2\xa314.00/75cl',Champagne,2021-03-01
4,£9.00,b'Canti Prosecco',b'Canti Prosecco 75cl \xc2\xa39.00/unit \xc2\xa39.00/75cl',Champagne,2021-03-01
5,£8.50,b'Valdo Prosecco Marca Oro',b'Valdo Prosecco Marca Oro 75cl \xc2\xa38.50/unit \xc2\xa38.50/75cl',Champagne,2021-03-01
6,£6.25,b'Edizione',b'Edizione 789 Di Mondelli Prosecco 75cl \xc2\xa36.25/unit \xc2\xa36.25/75cl',Champagne,2021-03-01
7,£7.50,b'Maschio Prosecco Doc Brut',b'Maschio Prosecco Doc Brut 75cl Only \xc2\xa37.50: Save \xc2\xa32.50 \xc2\xa37.50/unit \xc2\xa37.50/75cl',Champagne,2021-03-01
8,£6.00,"b""Sainsbury's Prosecco Frizzante""","b""Sainsbury's Prosecco Frizzante 75cl \xc2\xa36.00/unit \xc2\xa36.00/75cl""",Champagne,2021-03-01
9,£8.50,b'I Heart Prosecco',b'I Heart Prosecco 75cl \xc2\xa38.50/unit \xc2\xa38.50/75cl',Champagne,2021-03-01
10,£8.00,b'Freixenet Cordon Negro Brut Cava',b'Freixenet Cordon Negro Brut Cava 75cl Only \xc2\xa38.00: Save \xc2\xa33.00 \xc2\xa38.00/unit \xc2\xa38.00/75cl',Champagne,2021-03-01
11,£16.00,"b'Etienne Dumont Brut Champagne, Non Vintage'","b'Etienne Dumont Brut Champagne, Non Vintage 75cl \xc2\xa316.00/unit \xc2\xa316.00/75cl'",Champagne,2021-03-01
12,£6.00,"b""Sainsbury's Ros\xc3\xa9 Cava""","b""Sainsbury's Ros\xc3\xa9 Cava 75cl \xc2\xa36.00/unit \xc2\xa36.00/75cl""",Champagne,2021-03-01
13,£2.75,"b""Sainsbury's Alcohol Free Sparkling Wine""","b""Sainsbury's Alcohol Free Sparkling Wine 75cl \xc2\xa32.75/unit \xc2\xa32.75/75cl""",Champagne,2021-03-01
14,£12.00,b'Freixenet Prosecco',b'Freixenet Prosecco 75cl \xc2\xa312.00/unit \xc2\xa312.00/75cl',Champagne,2021-03-01
15,£6.00,"b""Sainsbury's Cava Medium Dry""","b""Sainsbury's Cava Medium Dry 75cl \xc2\xa36.00/unit \xc2\xa36.00/75cl""",Champagne,2021-03-01
16,£7.50,"b""Sainsbury's Cava Brut Nature, Taste the Difference""","b""Sainsbury's Cava Brut Nature, Taste the Difference 75cl Only \xc2\xa37.50: Save \xc2\xa31.50 \xc2\xa37.50/unit \xc2\xa37.50/""",Champagne,2021-03-01
17,£45.00,"b'Bollinger Special Cuvee, Non Vintage Champagne'","b'Bollinger Special Cuvee, Non Vintage Champagne 75cl \xc2\xa345.00/unit \xc2\xa345.00/75cl'",Champagne,2021-03-01
18,£5.75,"b""Sainsbury's Asti""","b""Sainsbury's Asti 75cl \xc2\xa35.75/unit \xc2\xa35.75/75cl""",Champagne,2021-03-01
19,£25.00,b'Lanson Le Black Label Brut',b'Lanson Le Black Label Brut 75cl Only \xc2\xa325.00: Save \xc2\xa310.00 \xc2\xa325.00/unit \xc2\xa325.00/75cl',Champagne,2021-03-01
20,£42.00,b'Veuve Clicquot Yellow Label Brut Non Vintage Champ',b'Veuve Clicquot Yellow Label Brut Non Vintage Champagne 75cl \xc2\xa342.00/unit \xc2\xa342.00/75cl',Champagne,2021-03-01
21,£35.00,b'Piper-Heidsieck Champagne Brut',b'Piper-Heidsieck Champagne Brut 75cl \xc2\xa335.00/unit \xc2\xa335.00/75cl',Champagne,2021-03-01
22,£8.00,b'Asti Martini',b'Asti Martini 75cl \xc2\xa38.00/unit \xc2\xa38.00/75cl',Champagne,2021-03-01
23,£40.00,"b'Laurent-Perrier La Cuv\xc3\xa9e Champagne, Non Vintage'","b'Laurent-Perrier La Cuv\xc3\xa9e Champagne, Non Vintage 75cl \xc2\xa340.00/unit \xc2\xa340.00/75cl'",Champagne,2021-03-01
24,£23.00,"b'Mumm Cordon Rouge Champagne Brut, Non Vintage'","b'Mumm Cordon Rouge Champagne Brut, Non Vintage 75cl Only \xc2\xa323.00: Save \xc2\xa312.00 \xc2\xa323.00/unit \xc2\xa323.00/7'",Champagne,2021-03-01
25,£19.00,"b""Sainsbury's Blanc De Noirs Champagne, Taste the Di""","b""Sainsbury's Blanc De Noirs Champagne, Taste the Difference 75cl Only \xc2\xa319.00: Save \xc2\xa32.00 \xc2\xa319.00/un""",Champagne,2021-03-01
26,£21.00,"b""Sainsbury's Conegliano Prosecco, Taste the Differe""","b""Sainsbury's Conegliano Prosecco, Taste the Difference 1.5L \xc2\xa321.00/unit \xc2\xa310.50/75cl""",Champagne,2021-03-01
27,£19.00,b'Nicholas Feuillate Champagne',b'Nicholas Feuillate Champagne 75cl Only \xc2\xa319.00: Save \xc2\xa32.00 \xc2\xa319.00/unit \xc2\xa319.00/75cl',Champagne,2021-03-01
28,£2.75,b'Cantine Maschio Prosecco',b'Cantine Maschio Prosecco 20cl \xc2\xa32.75/unit \xc2\xa310.31/75cl',Champagne,2021-03-01
29,£3.75,b'Nosecco Alcohol Free Sparkling Wine',b'Nosecco Alcohol Free Sparkling Wine 75cl \xc2\xa33.75/unit \xc2\xa33.75/75cl',Champagne,2021-03-01
