time_period,ref_area,indicator,breakdown,unit_measure,value
2019,IT,desi_3c2_shop,ind_total,pc_ind_ilt12,0.46589
2019,SI,desi_3c2_shop,ind_total,pc_ind_ilt12,0.626137
2019,HR,desi_5a1_egovu,ind_total,pc_ind_form,0.753518
2019,IT,desi_5a1_egovu,ind_total,pc_ind_form,0.372213
2019,CY,desi_2a1_bds,ind_total,pc_ind,0.503787
2018,CZ,desi_2a1_bds,ind_total,pc_ind,0.598475
2018,LV,desi_2a1_bds,ind_total,pc_ind,0.480724
2018,RO,desi_2a1_bds,ind_total,pc_ind,0.290477
2018,BE,desi_2a2_abds,ind_total,pc_ind,0.309899
2018,MT,desi_2a2_abds,ind_total,pc_ind,0.38696
2019,NL,desi_2a2_abds,ind_total,pc_ind,0.478472
2018,EE,desi_2a3_abss,ind_total,pc_ind,0.61467
2018,PT,desi_2a3_abss,ind_total,pc_ind,0.546358
2018,RO,desi_2a3_abss,ind_total,pc_ind,0.315217
2019,UK,desi_2a3_abss,ind_total,pc_ind,0.729189
2019,AT,desi_3a1_notiu,ind_total,pc_ind,0.09897
2018,DK,desi_3a1_notiu,ind_total,pc_ind,0.0203101
2018,FI,desi_3a1_notiu,ind_total,pc_ind,0.0506345
2018,FR,desi_3a1_notiu,ind_total,pc_ind,0.0996968
2019,HU,desi_3a1_notiu,ind_total,pc_ind,0.161281
2019,IE,desi_3a1_notiu,ind_total,pc_ind,0.155023
2019,BG,desi_3a2_iu,ind_total,pc_ind,0.636318
2019,DK,desi_3a2_iu,ind_total,pc_ind,0.952302
2019,LT,desi_3a2_iu,ind_total,pc_ind,0.780973
2019,NL,desi_3a2_iu,ind_total,pc_ind,0.938428
2019,BG,desi_3b1_news,ind_total,pc_ind_iu3,0.741159
2019,DK,desi_3b1_news,ind_total,pc_ind_iu3,0.85963
2019,LT,desi_3b1_news,ind_total,pc_ind_iu3,0.930194
2019,NL,desi_3b1_news,ind_total,pc_ind_iu3,0.796654
2018,DE,desi_3b2_mvg,ind_total,pc_ind_iu3,0.778962
2018,ES,desi_3b2_mvg,ind_total,pc_ind_iu3,0.831213
2019,PL,desi_3b2_mvg,ind_total,pc_ind_iu3,0.746442
2019,LU,desi_3b3_vod,ind_total,pc_ind_iu3,0.243379
2019,MT,desi_3b3_vod,ind_total,pc_ind_iu3,0.475152
2018,SK,desi_3b3_vod,ind_total,pc_ind_iu3,0.072874
2018,CZ,desi_3b4_vidcall,ind_total,pc_ind_iu3,0.420874
