year,Jobs_enter,Jobs_grow,Jobs_exit,Jobs_shrink,Jobs_total,JobsRLP_enter,JobsRLP_grow,JobsRLP_exit,JobsRLP_shrink,JobsRLP_total,firms_enter,firms_grow,firms_exit,firms_shrink,firms_stable,firms_total,Entry rate,Exit Rate,Grow Rate,Shrink Rate,Units,Employment(m),Turnover(bn),N firms,RLP,RLP growth,RLP actual,RLP hypotetical,Gap,Turnover,Turnover hypothetical,Turn_gap
2007,603,1582,1187,1091,19610,43540,160516,86834,85154,1770777,231754,287170,292564,205030,1477714,2294533,0.101002688,0.127504813,0.125154007,0.089355873,863638,18.5,1727,2031817,93.35135135,0.036047889,93.35135135,93.35135135,0,1727,1727,0
2008,431,1722,1261,1168,19615,32117,168836,96829,92174,1813046,165875,322259,277503,214858,1385598,2229430,0.074402426,0.124472623,0.14454771,0.096373513,904598,18.61,1781,2030407,95.70123589,0.025172475,95.70123589,95.70123589,0,1781,1781,0
2009,399,1582,1112,1594,19573,30188,161734,83565,144287,1860876,148392,269261,251412,218573,1388291,2158706,0.068741181,0.116464215,0.124732594,0.101251861,919136,18.55,1831,1976143,98.70619946,0.031399423,98.70619946,98.70619946,0,1831,1831,0
2010,415,1190,941,1178,19035,30749,117871,74913,105543,1836399,158675,218606,227411,226612,1396534,2105199,0.075372922,0.108023517,0.103841015,0.10764398,917525,17.91,1806,1911159,100.8375209,0.02159258,100.8375209,101.1976599,0.003571478,1806,1812.450089,6.450089111
2011,450,1515,795,1060,18650,33116,151490,57015,83614,1764720,174240,331020,192749,224622,1305162,2079401,0.083793362,0.092694483,0.159190074,0.108022455,889262,17.49,1732,1872814,99.02801601,-0.017944758,99.02801601,103.7520078,0.047703589,1732,1814.622616,82.62261576
2012,463,1585,889,1068,19062,34492,153465,65957,85382,1804217,186330,301126,227191,242783,1367547,2169250,0.085896047,0.104732511,0.13881572,0.111920249,867637,17.85,1770,1952141,99.15966387,0.0013294,99.15966387,106.3708303,0.072722781,1770,1898.719322,128.7193217
2013,661,1586,879,1032,19536,47283,151950,66757,90845,1888930,236124,280618,221757,180486,1520966,2230056,0.105882543,0.099440104,0.125834508,0.080933394,853661,18.1,1842,1962202,101.7679558,0.026303961,101.7679558,109.0557551,0.071611926,1842,1973.909167,131.9091672
2014,761,1534,924,942,20291,60039,143390,74039,77271,1957288,248257,274441,230891,188113,1618270,2338642,0.106154341,0.098728664,0.117350582,0.080436852,845859,18.7,1897,2058326,101.4438503,-0.00318475,101.4438503,111.8084505,0.102170809,1897,2090.818024,193.8180243
2015,743,1503,903,1235,20966,55823,142582,66425,103032,2028413,257150,231316,224157,230648,1707363,2420764,0.106226795,0.092597626,0.095554957,0.095279011,836940,19.33,1973,2130503,102.0693223,0.006165697,102.0693223,114.6306272,0.123066408,1973,2215.810023,242.8100231
2016,837,1425,974,1045,21401,70440,142336,68610,88413,2102357,281947,271685,249020,202138,1786418,2533293,0.11129664,0.098298933,0.107245786,0.079792586,829541,19.63,2032,2213199,103.515028,0.014163959,103.515028,117.5240389,0.135333112,2032,2306.996883,274.9968833
2017,818,1661,1002,1237,21847,66172,166958,73277,107458,2148539,245437,274115,299563,210443,1783945,2592281,0.094679936,0.115559617,0.10574278,0.081180628,825295,20.04,2082,2307805,103.8922156,0.003643795,103.8922156,120.4904837,0.15976431,2082,2414.629294,332.6292937
2018,846,1605,1123,1387,22373,68450,152244,85571,121705,2233980,255118,272065,282242,218377,1819794,2606542,0.097876037,0.108282161,0.104377754,0.08378035,826841,20.49,2166,2309475,105.7101025,0.017497816,105.7101025,123.5318051,0.168590345,2166,2531.166687,365.1666866
2019,764,1392,1422,1281,22520,65752,137592,131172,110145,2282539,253379,258593,315526,228605,1849644,2652368,0.095529353,0.118960114,0.097495144,0.086189021,827172,20.67,2217,2352825,107.256894,0.014632391,107.256894,126.649893,0.180808881,2217,2617.853289,400.8532887
