Industry,Year,RLP,lRLP,Lrlp_rel,Empl,Turn,Units,E (m),T (m),N firms
Transport,2008,54.75,0.75,0.75,258,20552,18687,0.57,43.41,49610
Construction,2008,70.71,0.82,0.82,97,27416,148082,1.41,166.72,259038
z. Other industries,2008,62.52,1.13,1.08,452,50824,120518,2.05,225.03,245361
Retail,2009,64.51,0.84,0.84,929,111681,162772,3.04,297.89,199866
Automotives,2009,98.27,0.9,0.9,96,28048,35980,0.54,95.45,70264
Manufacturing,2009,65.16,0.9,0.89,186,44583,87053,2.84,372.68,151980
Transport,2009,56.79,0.76,0.76,253,19493,18288,0.55,42.98,47694
Other business,2009,56.08,0.92,0.92,151,8657,126998,3.65,220.34,481095
Wholesale,2009,103.9,1.13,1.13,106,24759,59959,1.01,185.97,101515
Hospitality,2009,42.27,0.64,0.64,342,11483,82316,1.82,74.75,143564
Recreation & Culture,2009,60.53,1.15,1.15,123,11213,28801,0.67,40.59,77960
Other service,2009,49.14,0.8,0.8,45,1676,22240,0.37,17.75,80731
IT,2009,52.53,0.92,0.92,95,18862,20925,0.56,62.32,120936
Construction,2009,72.07,0.83,0.83,84,16803,153124,1.42,164.93,255456
z. Other industries,2009,64.52,1.15,1.11,449,59064,120680,2.09,255.04,245082
Construction,2010,73.33,0.87,0.87,90,16897,156332,1.33,153.5,243307
Wholesale,2010,105.15,1.13,1.13,104,25806,60596,0.97,183.53,98646
Other service,2010,48.5,0.77,0.77,46,1936,22654,0.37,17.41,77103
Recreation & Culture,2010,60.83,1.16,1.16,116,9446,29476,0.67,40.05,77215
Transport,2010,57.86,0.78,0.78,245,19449,18002,0.53,42.55,44569
Other business,2010,58.61,0.92,0.92,153,10352,125509,3.52,230.09,463817
Retail,2010,65.64,0.85,0.85,966,122021,159796,3,302.52,195685
Automotives,2010,98.86,0.9,0.9,78,24365,35783,0.51,89.56,69378
z. Other industries,2010,68.46,1.16,1.12,437,59550,122175,2.07,257.78,240588
Manufacturing,2010,66.84,0.92,0.91,187,41098,83880,2.61,356.03,144940
IT,2010,53.82,0.93,0.93,89,16897,21063,0.54,59.24,116355
Hospitality,2010,42.94,0.67,0.67,303,11103,82259,1.8,73.4,139556
Construction,2011,70.71,0.9,0.9,89,18766,144974,1.24,142.86,231933
z. Other industries,2011,67.35,1.17,1.14,419,55298,125007,2.03,235.14,241165
Wholesale,2011,105.73,1.14,1.14,100,23224,59849,0.94,173.43,98044
Recreation & Culture,2011,60.42,1.17,1.17,120,13616,29210,0.68,43.11,76846
Other business,2011,58.69,0.96,0.96,150,10030,123385,3.43,217.28,455648
Other service,2011,47.31,0.76,0.76,47,2043,22031,0.35,15.89,71739
Retail,2011,66.45,0.87,0.87,968,125633,155809,2.98,307.4,193819
Manufacturing,2011,66.07,0.94,0.93,183,41829,79962,2.51,337.34,139525
Transport,2011,56.16,0.8,0.8,246,21195,17353,0.51,40.9,43010
IT,2011,52.98,0.95,0.95,87,16693,20688,0.53,58.84,117544
Automotives,2011,99.35,0.91,0.91,82,22141,35857,0.51,87.62,68825
Hospitality,2011,42.3,0.68,0.68,305,11368,75137,1.78,71.8,134716
Manufacturing,2012,64.41,0.92,0.91,177,44991,77748,2.5,351.76,141545
Construction,2012,69.44,0.88,0.88,81,17501,135736,1.22,141.55,238653
Other business,2012,56.78,0.94,0.94,150,8951,120575,3.59,228.45,488712
Transport,2012,54.32,0.78,0.78,235,23926,16787,0.51,43.72,43789
Other service,2012,43.42,0.74,0.74,55,2243,21976,0.38,16.18,76260
IT,2012,50.96,0.92,0.92,83,15739,20527,0.58,62.64,127399
Automotives,2012,99.73,0.9,0.9,81,23964,35392,0.52,91.09,71158
Hospitality,2012,35.53,0.64,0.64,283,11307,75385,1.87,74.73,142668
Retail,2012,62.9,0.86,0.86,969,127887,153530,3.04,317.11,198349
Wholesale,2012,107.19,1.14,1.14,100,24123,58711,0.94,179.72,98219
z. Other industries,2012,67.74,1.17,1.14,400,46290,123132,2.02,223.86,245455
Recreation & Culture,2012,60.47,1.16,1.16,108,8426,28138,0.67,38.91,79934
Construction,2013,71.07,0.87,0.87,78,15299,124814,1.2,138.18,233043
Other service,2013,43.54,0.74,0.74,55,2327,21171,0.38,15.77,71722
Recreation & Culture,2013,61.68,1.17,1.17,111,8870,28349,0.69,40.49,81179
IT,2013,51.51,0.9,0.9,86,17182,20554,0.6,67.56,131704
Wholesale,2013,107.99,1.13,1.13,108,28183,57822,0.95,186.6,97480
z. Other industries,2013,69.9,1.19,1.17,397,50470,129111,2.08,246.21,250949
Retail,2013,62.96,0.87,0.87,986,133739,150343,3.05,327,196166
Transport,2013,55.71,0.79,0.79,233,26778,16633,0.52,47.37,43774
Hospitality,2013,35.12,0.63,0.63,286,12141,75755,1.93,76.33,140293
Manufacturing,2013,65.26,0.91,0.9,171,44820,75791,2.47,361.06,143548
Other business,2013,58.33,0.93,0.93,167,11722,118508,3.7,247.36,501607
Automotives,2013,98.3,0.9,0.9,83,22249,34810,0.52,87.72,70737
Construction,2014,71.38,0.88,0.88,65,15010,116363,1.21,143.41,241353
Retail,2014,62.33,0.86,0.86,986,138657,147719,3.1,337.96,199464
Manufacturing,2014,65.19,0.92,0.91,169,42983,74834,2.46,349.56,144787
Transport,2014,54.81,0.78,0.78,219,25832,16108,0.52,47.35,47137
Hospitality,2014,33.54,0.64,0.64,298,12513,76599,2.07,80.65,146481
IT,2014,50.25,0.87,0.87,84,16797,20814,0.64,72.9,143219
Recreation & Culture,2014,60.89,1.16,1.16,112,16338,29897,0.73,47.3,84224
Wholesale,2014,108.6,1.14,1.14,140,33902,57221,1,194.61,98540
z. Other industries,2014,70.07,1.2,1.18,368,49227,130853,2.11,254.99,257270
Other business,2014,59.02,0.92,0.92,156,11560,120506,3.92,264.87,550174
