Year,GDP,GDP per capita,Population
1537,3252,1188.763612,2.735597726
1538,3097,1120.83075,2.763447333
1539,3361,1203.950314,2.791580463
1540,3268,1158.759085,2.82
1541,3175,1121.748707,2.830458
1542,3318,1157.147993,2.867727
1543,3217,1115.425601,2.884361
1544,3419,1172.663108,2.916003
1545,3308,1136.301458,2.911613
1546,3353,1152.920978,2.908466
1547,3623,1244.811558,2.91044
1548,3504,1187.070482,2.951903
1549,3382,1134.611168,2.98118
1550,3379,1118.530973,3.020841
1551,3326,1084.942292,3.065168
1552,3190,1033.356292,3.087215
1553,3747,1204.463314,3.110592
1554,3430,1093.088999,3.137961
1555,3419,1081.415679,3.161626
1556,2813,875.7442315,3.212505
1557,3076,959.8508002,3.204974
1558,3906,1246.459591,3.133757
1559,3581,1179.205603,3.036742
1560,3574,1185.399858,3.015219
1561,3651,1202.720582,3.035688
1562,3658,1191.765916,3.069343
1563,4011,1294.012705,3.099546
1564,3878,1246.58755,3.110707
1565,3916,1243.575875,3.149204
1566,4413,1390.639913,3.173513
1567,4167,1298.822729,3.208378
1568,4203,1292.317383,3.252345
1569,4198,1281.822659,3.274741
1570,3873,1175.077624,3.296204
1571,3889,1174.964461,3.310219
1572,3786,1132.982283,3.341349
1573,4351,1294.569152,3.360591
1574,3862,1142.33306,3.380804
1575,4330,1268.523622,3.413301
1576,4497,1304.337248,3.447945
1577,3848,1102.573066,3.490202
1578,4424,1254.073662,3.527355
1579,4383,1231.205875,3.560316
1580,4181,1160.832693,3.602085
1581,4063,1118.776671,3.631441
1582,3664,997.9582233,3.671239
1583,4181,1123.377222,3.721513
1584,4069,1079.90812,3.768244
1585,3585,944.0570508,3.797796
1586,3523,917.373366,3.840647
1587,3919,1015.561829,3.859383
1588,4397,1143.063963,3.846636
1589,3874,997.0738888,3.885426
1590,4145,1053.45615,3.93426
1591,4177,1060.608881,3.937845
1592,4515,1144.570865,3.945029
1593,4780,1212.243605,3.943129
1594,3914,983.6452276,3.979088
1595,3959,982.8624638,4.028223
1596,3783,932.6012573,4.056574
1597,3610,890.1858227,4.054783
1598,4274,1061.006159,4.028631
1599,4916,1209.234577,4.065427
1600,4705,1143.365734,4.114891
1601,4704,1130.242796,4.161785
1602,4960,1184.511128,4.187655
1603,5265,1250.782518,4.209409
1604,5613,1330.178164,4.219477
1605,5060,1184.860273,4.270233
1606,5338,1238.434441,4.31042
1607,4896,1122.757029,4.361009
1608,4674,1062.677069,4.398228
1609,5436,1225.612724,4.435392
1610,5774,1297.750426,4.449135
1611,5318,1188.136055,4.47631
1612,5096,1132.766974,4.49831
1613,4927,1090.407646,4.518285
1614,4752,1051.609024,4.518328
1615,5176,1136.765294,4.55311
1616,4901,1072.890236,4.568412
1617,5411,1183.05711,4.573625
1618,5415,1176.455846,4.602855
1619,4985,1072.96526,4.645663
1620,5841,1245.828704,4.68869
1621,5879,1238.982248,4.744972
1622,5163,1069.067835,4.829012
1623,5152,1060.164158,4.859479
1624,5817,1204.507459,4.829546
1625,5864,1216.134627,4.821584
1626,5572,1170.079777,4.761954
1627,5621,1171.853878,4.796562
1628,6446,1316.50525,4.896191
1629,4812,967.3579363,4.973912
1630,4749,957.6457912,4.959428
1631,4833,981.0489131,4.926322
1632,5499,1102.202178,4.989043
1633,5190,1014.81534,5.114408
1634,5318,1027.220921,5.176634
1635,5526,1062.75171,5.199885
1636,5253,1031.975587,5.089826
1637,5185,997.9189222,5.19585
1638,5672,1098.550165,5.163125
1639,5776,1109.212173,5.207413
1640,5929,1138.236299,5.20928
1641,5202,1014.011324,5.130123
1642,5743,1105.863131,5.192783
1643,6147,1166.585433,5.268977
1644,6158,1180.255669,5.217877
1645,5360,1021.628227,5.247014
1646,5393,1030.847802,5.23124
1647,5448,1024.853948,5.315683
1648,5512,1038.173156,5.309168
1649,5422,1019.99816,5.315384
1650,5195,977.9668385,5.312343
1651,5482,1032.875634,5.307978
1652,6270,1162.981705,5.391294
1653,6994,1298.587091,5.385708
1654,6839,1287.202092,5.313195
1655,7236,1340.484137,5.397694
1656,6689,1240.915951,5.390765
1657,6301,1168.011112,5.394992
1658,6123,1150.831602,5.320309
1659,5132,974.3662889,5.266505
1660,5598,1067.104109,5.245768
1661,5749,1088.810519,5.279736
1662,5857,1125.355946,5.204667
1663,6848,1324.74932,5.169274
1664,6484,1236.184674,5.244883
1665,6686,1289.705779,5.184322
1666,7550,1443.778596,5.229235
1667,7584,1485.184949,5.106405
1668,6830,1312.154594,5.205223
1669,7002,1346.345317,5.20047
1670,6793,1307.991582,5.193358
1671,6536,1266.914778,5.158922
1672,6466,1257.808769,5.140882
1673,6635,1282.840391,5.171863
1674,6334,1221.187532,5.186973
1675,6500,1253.096997,5.187052
1676,7681,1481.535577,5.184564
1677,7126,1372.261143,5.193061
1678,7410,1422.407799,5.209648
1679,6898,1327.906295,5.194269
1680,7718,1493.739568,5.166785
1681,6924,1355.264805,5.109031
1682,7214,1453.824028,4.962352
1683,7779,1571.341105,4.950841
1684,6506,1316.065368,4.943877
1685,7154,1427.30133,5.012077
1686,6640,1318.427975,5.036096
1687,7304,1467.008009,4.978729
1688,7804,1577.832482,4.945834
1689,7617,1510.469311,5.042935
1690,8132,1613.624433,5.039295
1691,8270,1623.466526,5.09375
1692,8945,1754.69784,5.097574
1693,7610,1485.989615,5.121314
1694,9039,1769.120926,5.109576
1695,8648,1692.373179,5.109708
1696,8281,1617.923468,5.118433
1697,8222,1596.537982,5.150015
1698,8462,1634.379464,5.177316
1699,8158,1571.847056,5.190149
1700,8668,1668.330085,5.195805
1701,9444,1812.444582,5.210622
1702,9198,1792.724512,5.130944
1703,8607,1636.616524,5.259007
1704,10244,1948.329567,5.258024
1705,9721,1853.785383,5.243873
1706,8230,1543.119463,5.333593
1707,9245,1736.328992,5.324293
1708,9838,1850.865471,5.315379
1709,8521,1604.77031,5.309902
1710,7745,1437.033567,5.38987
1711,8443,1568.681308,5.382325
1712,8434,1587.118934,5.313727
1713,8070,1519.719037,5.310003
1714,8875,1645.365908,5.393804
1715,8624,1597.675416,5.39773
1716,8948,1648.40891,5.428306
1717,9450,1738.126982,5.437161
1718,9982,1817.732998,5.491429
1719,9804,1772.729272,5.530415
1720,10427,1892.354518,5.510036
1721,10018,1820.537375,5.502742
1722,10123,1838.550954,5.505718
1723,9877,1788.315033,5.523184
1724,9776,1764.693568,5.540007
1725,10029,1804.325985,5.55845
1726,9718,1734.580198,5.602227
1727,9656,1715.631203,5.628489
1728,9949,1783.672346,5.577742
1729,9394,1714.692612,5.478467
1730,9607,1772.245313,5.420676
1731,9452,1745.750921,5.414321
1732,10078,1868.108306,5.394668
1733,10299,1894.051938,5.437529
1734,10259,1860.138101,5.515446
1735,10014,1800.632204,5.561308
1736,10756,1921.047949,5.598932
1737,10177,1808.014048,5.629101
1738,10365,1833.851399,5.652216
1739,10294,1810.981957,5.684087
1740,10119,1771.523646,5.711806
1741,10412,1819.214316,5.723207
1742,10649,1880.062104,5.664217
1743,10396,1836.795911,5.660026
1744,10249,1799.542464,5.695178
1745,10397,1808.085445,5.750497
1746,10722,1854.373393,5.781808
1747,11208,1930.66612,5.805091
1748,11085,1905.800241,5.816618
1749,11017,1882.937146,5.851017
1750,11174,1897.723809,5.888264
1751,10930,1845.705734,5.921907
1752,11466,1923.488073,5.960981
1753,11565,1925.09605,6.007521
1754,11239,1856.859654,6.052434
1755,11577,1898.806413,6.096763
1756,11378,1850.501313,6.148555
1757,12031,1947.436231,6.177649
1758,12195,1968.191688,6.196146
1759,12385,1990.62814,6.221833
1760,12742,2034.687837,6.262599
1761,13247,2099.20721,6.310339
1762,12875,2031.270815,6.338572
1763,12830,2027.897567,6.326856
1764,12822,2015.596025,6.361342
1765,12715,1982.026377,6.415198
1766,12882,1997.613119,6.448732
1767,12968,2005.232484,6.46703
1768,13084,2017.074384,6.486827
1769,13821,2116.170908,6.530999
1770,13440,2042.646083,6.579743
1771,13688,2066.64052,6.623359
1772,13335,1998.144604,6.673919
1773,13570,2017.323928,6.726828
1774,13265,1957.717934,6.775929
1775,13686,1998.572239,6.847947
1776,14126,2043.292982,6.913474
1777,14532,2082.186057,6.979029
1778,14427,2046.263738,7.050435
1779,14384,2021.367132,7.116142
1780,15038,2101.835398,7.15476
1781,15463,2145.817416,7.206139
1782,15306,2116.712588,7.230818
1783,15223,2089.973347,7.284
1784,15280,2092.981659,7.300587
1785,15170,2059.034677,7.367578
1786,15432,2075.952843,7.433688
1787,15172,2020.625223,7.508406
1788,15134,1993.459332,7.59159
1789,15469,2017.881281,7.665834
1790,16639,2143.619307,7.762101
1791,16707,2129.390428,7.845678
1792,17374,2188.873804,7.937411
1793,17088,2130.084009,8.022417
1794,16532,2040.693273,8.100998
1795,18323,2242.98378,8.169106
1796,18648,2258.6077,8.256325
1797,18508,2220.885958,8.33374
1798,18682,2214.802918,8.435048
1799,19169,2248.325423,8.52574
1800,20098,2331.731303,8.619513
1801,20275,2338.078926,8.671439
1802,20500,2348.023951,8.730845
1803,20062,2271.517177,8.831874
1804,20036,2239.84821,8.945472
1805,21249,2336.934063,9.092471
1806,21159,2291.820668,9.232495
1807,22537,2405.810877,9.367758
1808,21477,2261.088613,9.49847
1809,22145,2301.126654,9.623669
1810,23567,2420.111272,9.737937
1811,23314,2363.557906,9.863959
1812,22345,2237.1917,9.988059
1813,23555,2322.781562,10.14077
1814,23026,2241.182745,10.27405
1815,25484,2436.80389,10.45806
1816,24140,2271.301702,10.62838
1817,24540,2271.833928,10.80177
1818,24508,2236.715484,10.95725
1819,24097,2166.740383,11.12151
1820,26052,2312.04262,11.26775
1821,26492,2312.366079,11.45681
1822,27002,2317.277351,11.65227
1823,27795,2347.711066,11.83911
1824,29317,2439.69659,12.01661
1825,29973,2455.2645,12.20769
1826,28361,2292.055033,12.37375
1827,30544,2438.056633,12.52784
1828,30631,2406.607264,12.72769
1829,30883,2393.503858,12.90303
1830,32263,2467.696004,13.07414
1831,33262,2509.59136,13.25405
1832,33414,2494.636584,13.39434
1833,33794,2491.262348,13.56508
1834,34983,2542.31905,13.76037
1835,37098,2664.801799,13.92132
1836,38068,2699.925771,14.09952
1837,37744,2646.566272,14.26131
1838,39586,2745.992219,14.416
1839,40484,2773.963877,14.59444
1840,40614,2749.893871,14.76938
1841,39484,2643.434566,14.93671
1842,39153,2597.527108,15.073126
1843,40410,2647.48236,15.263728
1844,43558,2818.346248,15.455274
1845,45577,2912.60711,15.648136
1846,48212,3043.459556,15.841092
1847,47672,2972.96287,16.035218
1848,48734,3002.655964,16.230182
1849,49122,2990.496056,16.425956
1850,48432,2913.636018,16.622424
1851,50533,3004.390414,16.819749
1852,52065,3059.375474,17.018306
1853,53992,3135.8482,17.217568
1854,56304,3232.581904,17.41751
1855,55666,3159.59404,17.618
1856,58182,3264.934638,17.820212
1857,58774,3261.413435,18.020916
1858,58569,3213.955508,18.223191
1859,60800,3299.707351,18.425901
1860,62356,3347.189568,18.629213
1861,63499,3371.678197,18.832914
1862,62992,3302.76501,19.072513
1863,66439,3439.750873,19.315155
1864,67403,3445.816334,19.560889
1865,70609,3564.353704,19.809651
1866,71603,3569.126087,20.061684
1867,71989,3543.309096,20.316825
1868,74875,3639.080023,20.575213
1869,76758,3683.749302,20.836899
1870,82871,3927.180378,21.101916
1871,87729,4104.127807,21.375866
1872,88093,4065.41752,21.6688
1873,88709,4038.551968,21.9655
1874,92472,4152.98732,22.2663
1875,93242,4131.018503,22.5712
1876,93568,4089.477137,22.8803
1877,94340,4067.537023,23.1935
1878,94295,4010.638704,23.5111
1879,92472,3880.033173,23.8329
1880,99439,4115.994708,24.1592
1881,102032,4168.960737,24.4743
1882,103728,4183.08989,24.7971
1883,106880,4272.999935,25.0129
1884,105691,4178.836564,25.2919
1885,104574,4089.091794,25.574
1886,104932,4057.813977,25.8593
1887,109518,4188.413464,26.1479
1888,113242,4282.995464,26.4398
1889,116980,4375.526099,26.7351
1890,118163,4375.868317,27.0033
1891,121795,4460.650746,27.3044
1892,118737,4299.188401,27.6184
1893,117668,4212.081256,27.9359
1894,123579,4373.335731,28.2574
1895,127647,4465.915312,28.5824
1896,133058,4602.296203,28.9113
1897,135019,4601.264683,29.3438
1898,141726,4791.231176,29.5802
1899,147257,4921.608286,29.9205
1900,147356,4870.74518,30.2533
1901,150837,4930.287372,30.594
1902,153241,4958.083396,30.9074
1903,151617,4859.236913,31.2018
1904,153714,4876.485235,31.5215
1905,158930,4990.844814,31.8444
1906,162943,5064.957285,32.1707
1907,167047,5115.815395,32.653
1908,160492,4888.033469,32.8336
1909,164368,4955.349347,33.1699
1910,169147,5067.06588,33.3817
1911,174587,5179.955858,33.7043
1912,177560,5245.171529,33.852
1913,185317,5441.651328,34.0553
1914,188942,5485.562317,34.4435
1915,199235,5722.2171,34.81777781
1916,201400,5782.356034,34.83006644
1917,200171,5746.92748,34.83098321
1918,203906,5858.52607,34.80492782
1919,187816,5422.930899,34.6336
1920,176887,5058.558095,34.9678
1921,159749,4528.752928,35.2743
1922,168269,4737.443841,35.5189
1923,173294,4848.054016,35.745
1924,181514,5033.008689,36.0648
1925,187945,5192.101718,36.1982
1926,182123,5005.731541,36.3828
1927,196173,5365.434509,36.5624
1928,197969,5380.225935,36.7957
1929,203664,5515.925416,36.9229
1930,202089,5436.576325,37.1721
1931,192757,5154.667673,37.3947
1932,193013,5130.706448,37.6191
1933,199279,5274.453997,37.7819
1934,211304,5573.461221,37.9126
1935,219260,5753.7432,38.1073
1936,229862,5998.168944,38.3221
1937,238059,6175.020022,38.552
1938,240060,6195.236749,38.7492
1939,250785,6434.829359,38.973
1940,275846,7012.014661,39.339
1941,300057,7665.259003,39.145
1942,305632,7762.792509,39.3714
1943,311082,7815.519437,39.8031
1944,297583,7439.676652,39.9995
1945,284156,7066.143303,40.2137
1946,277347,6894.616996,40.2266
1947,273982,6756.821441,40.549
1948,282806,6906.125046,40.95
1949,292553,7098.396796,41.214
1950,302432,7301.42662,41.421
1951,313963,7615.29087,41.228
1952,319153,7715.160448,41.367
1953,336989,8117.273887,41.515
1954,351677,8438.959491,41.673
1955,365337,8732.190573,41.838
1956,371470,8832.118111,42.059
1957,378804,8956.028583,42.296
1958,383828,9032.526383,42.494
1959,399831,9349.932716,42.763
1960,425188,9854.62928,43.146
1961,436823,10026.64129,43.5662
1962,441844,10040.46971,44.0063
1963,463646,10463.45922,44.311
1964,489587,10965.4806,44.648
1965,500279,11122.59856,44.9786
1966,508385,11231.21991,45.2653
1967,522808,11474.64156,45.562
1968,551593,12045.96331,45.7907
1969,562496,12224.58035,46.0135
1970,578087,12521.59925,46.1672
1971,598523,12895.95145,46.4117
1972,623323,13384.10095,46.5719
1973,663649,14215.09537,46.6862
1974,646956,13858.57657,46.6827
1975,637048,13648.76712,46.6744
1976,655374,14045.77111,46.6599
1977,671224,14391.65035,46.6398
1978,699077,14989.3727,46.6382
1979,724874,15522.55814,46.6981
1980,709767,15170.1166,46.7872
1981,703930,15034.56459,46.820805
1982,718494,15359.88039,46.777337
1983,749210,16004.07559,46.813693
1984,766651,16342.17335,46.912444
1985,799170,16982.90059,47.057359
1986,824801,17479.17001,47.187643
1987,869460,18381.65046,47.300419
1988,920259,19409.69899,47.412342
1989,944522,19862.65106,47.552651
1990,951790,19954.03323,47.699116
1991,941631,19668.51845,47.875035
1992,944232,19672.32702,47.997973
1993,967096,20104.96671,48.102319
1994,1003827,20813.86723,48.228781
1995,1028125,21249.50958,48.383461
1996,1053444,21711.93036,48.519129
1997,1085474,22305.11616,48.664777
1998,1124397,23031.20435,48.820583
1999,1164715,23753.74977,49.032872
2000,1201398,24402.13876,49.233311
2001,1237291,25021.18367,49.449746
2002,1269281,25549.50238,49.679267
2003,1315119,26341.61582,49.925517
2004,1344096,26777.70259,50.1946
2005,1380757,27284.43635,50.606034
2006,1410161,27669.11152,50.965186
2007,1450845,28236.94809,51.381093
2008,1438728,27766.1726,51.815853
2009,1380762,26453.21334,52.196381
2010,1409477,26774.52836,52.642452
2011,1429366,26914.7418,53.107169
2012,1455375,27206.46792,53.493729
2013,1483697,27544.32051,53.865817
2014,1534814,28256.79993,54.316618
2015,1571982,28692.96873,54.7863
2016,1600372,28982.26823,55.219
