Country,tradePartner,tradeTotal,Balance,Balance_absolute,Balance_pctTrade,Exports,Exports_absolute,Imports,Imports_absolute,Source
Turkmenistan,187,6,5,5,0.81,5,5,1,1,
Reunion,188,6,-4,4,-0.74,1,1,5,5,
Eswatini,189,6,4,4,0.72,5,5,1,1,
San Marino,190,5,-5,5,-0.92,0,0,5,5,
Sudan,191,5,1,1,0.21,3,3,2,2,
Samoa,192,5,3,3,0.57,4,4,1,1,
Seychelles,193,5,1,1,0.27,3,3,2,2,
Tonga,194,4,3,3,0.70,3,3,1,1,
Burundi,195,3,-2,2,-0.68,1,1,3,3,
Tajikistan,196,3,3,3,0.88,3,3,0,0,
French Guiana,197,3,3,3,0.91,3,3,0,0,
Cabo Verde,198,3,1,1,0.42,2,2,1,1,
Palau,199,2,2,2,0.94,2,2,0,0,
Syria,200,2,-1,1,-0.28,1,1,2,2,
Solomon Islands,201,2,2,2,0.87,2,2,0,0,
Montserrat,202,2,2,2,0.85,2,2,0,0,
Andorra,203,2,0,0,0.11,1,1,1,1,
Vatican City,204,2,-1,1,-0.88,0,0,1,1,
Vanuatu,205,1,0,0,-0.11,1,1,1,1,
West Bank Administered by Israel,206,1,-1,1,-0.79,0,0,1,1,
Cocos (Keeling) Islands,207,1,-1,1,-0.61,0,0,1,1,
Christmas Island,208,1,-1,1,-0.74,0,0,1,1,
British Indian Ocean Territories,209,1,0,0,0.49,1,1,0,0,
Mayotte,210,1,0,0,-0.21,0,0,0,0,
Sao Tome and Principe,211,0,0,0,-0.13,0,0,0,0,
Nauru,212,0,0,0,0.41,0,0,0,0,
St Helena,213,0,,0,0.00,0.082593,0.082593,0.0668,0.0668,
